"mutasi_id","pegawai_id","instansi_asal_id","instansi_tujuan_id","tanggal_mutasi","jenis_mutasi"
116,442,7,31,1998-08-10,Rotasi
117,442,22,31,2003-11-12,Rotasi
118,442,16,31,2006-04-21,Alih Tugas
119,444,4,20,2000-12-17,Rotasi
120,446,15,46,2015-08-01,Alih Tugas
121,454,8,41,2025-07-03,Rotasi
122,467,28,40,2028-11-06,Rotasi
123,468,15,9,1996-05-06,Rotasi
124,468,45,9,2002-04-15,Rotasi
125,470,22,16,2009-11-14,Rotasi
126,470,2,16,2012-10-20,Promosi
127,475,11,15,2009-01-13,Alih Tugas
128,475,20,15,2012-01-21,Rotasi
129,475,10,15,2018-05-28,Promosi
130,490,42,32,2000-05-12,Promosi
131,491,20,29,2009-04-28,Promosi
132,501,12,28,2007-12-04,Alih Tugas
133,501,23,28,2013-12-10,Rotasi
134,501,34,28,2017-06-18,Promosi
135,503,20,46,1998-03-17,Rotasi
136,503,37,46,2001-01-15,Promosi
137,517,47,45,1992-04-09,Rotasi
138,521,35,39,2027-04-11,Rotasi
139,529,40,21,2005-01-11,Rotasi
140,529,30,21,2010-01-02,Rotasi
141,540,23,15,2023-04-14,Promosi
142,550,13,46,2026-11-12,Rotasi
143,553,18,32,2011-10-04,Rotasi
144,557,22,45,2008-08-15,Promosi
145,557,35,45,2012-02-22,Alih Tugas
146,558,21,33,2027-07-28,Alih Tugas
147,565,33,47,1994-09-02,Rotasi
148,565,9,47,2000-06-05,Rotasi
149,565,45,47,2005-03-10,Rotasi
150,574,35,16,2010-09-14,Promosi
151,574,25,16,2016-01-17,Promosi
152,577,10,32,2008-09-15,Rotasi
153,580,22,43,2026-02-05,Promosi
154,583,43,46,2021-04-19,Rotasi
155,588,42,10,2007-09-22,Alih Tugas
156,592,19,41,1996-01-04,Alih Tugas
157,593,15,33,1995-02-20,Rotasi
158,599,10,23,2019-04-01,Rotasi
159,601,37,13,2025-10-04,Alih Tugas
160,604,22,24,2008-02-15,Rotasi
161,607,43,17,2016-01-06,Promosi
162,610,1,5,2005-04-10,Rotasi
163,616,8,16,2002-02-22,Rotasi
164,616,30,16,2005-12-24,Rotasi
165,616,23,16,2010-09-22,Alih Tugas
166,631,17,38,2025-03-14,Rotasi
167,656,6,10,1999-02-15,Rotasi
168,656,12,10,2002-01-25,Rotasi
169,660,23,18,1999-10-12,Rotasi
170,660,17,18,2005-11-27,Promosi
171,666,13,37,2003-10-10,Rotasi
172,667,39,17,1997-03-04,Alih Tugas
173,667,32,17,2000-05-06,Rotasi
174,669,16,13,2028-04-07,Alih Tugas
175,672,38,22,2015-11-24,Rotasi
176,672,21,22,2018-06-10,Rotasi
177,679,8,39,2012-08-15,Promosi
178,679,2,39,2015-04-28,Rotasi
179,682,35,1,2017-09-11,Rotasi
180,687,32,21,2011-04-07,Alih Tugas
181,696,27,8,2019-11-27,Rotasi
182,696,36,8,2023-05-11,Promosi
183,698,20,1,2029-12-08,Promosi
184,699,25,28,2011-12-15,Rotasi
185,699,13,28,2016-10-14,Promosi
186,700,21,43,2017-02-16,Rotasi
187,712,11,36,2025-05-13,Rotasi
188,715,18,37,1997-05-15,Rotasi
189,715,3,37,2001-03-05,Rotasi
190,715,28,37,2005-03-18,Rotasi
191,717,43,46,2021-01-15,Rotasi
192,718,18,10,2024-02-14,Rotasi
193,725,8,4,2027-12-07,Rotasi
194,736,47,7,2015-04-16,Promosi
195,736,37,7,2018-02-21,Alih Tugas
196,738,2,41,2014-02-08,Rotasi
197,738,4,41,2019-03-04,Promosi
198,741,13,15,2019-09-26,Promosi
199,741,31,15,2022-12-13,Promosi
200,747,24,2,2026-07-01,Alih Tugas
201,748,9,46,2019-03-26,Alih Tugas
202,748,13,46,2024-06-19,Rotasi
203,754,24,23,2028-03-09,Alih Tugas
204,755,34,25,1994-05-21,Alih Tugas
205,755,13,25,1998-03-15,Alih Tugas
206,755,30,25,2004-02-02,Promosi
207,758,17,31,2013-01-14,Promosi
208,759,47,29,2002-08-23,Rotasi
209,759,11,29,2006-04-26,Rotasi
210,763,42,3,2028-02-27,Alih Tugas
211,767,14,25,2019-09-26,Rotasi
212,767,24,25,2025-03-19,Alih Tugas
213,770,28,34,2019-01-23,Promosi
214,770,42,34,2025-04-04,Promosi
215,771,24,8,1998-08-26,Rotasi
216,771,3,8,2002-05-28,Rotasi
217,771,5,8,2006-09-01,Rotasi
218,777,17,1,2017-12-03,Promosi
219,788,7,16,2005-01-11,Alih Tugas
220,790,38,33,2020-01-20,Rotasi
221,794,7,17,1997-12-09,Rotasi
222,794,5,17,2000-05-01,Promosi
223,794,21,17,2006-08-23,Alih Tugas
224,797,38,10,2011-09-16,Promosi
225,801,36,28,2026-01-09,Promosi
226,808,20,10,2018-06-07,Rotasi
227,816,28,36,2010-09-04,Rotasi
228,817,46,35,2006-10-07,Rotasi
229,818,43,26,1996-05-01,Rotasi
230,818,22,26,2001-02-22,Alih Tugas
231,818,17,26,2005-01-13,Promosi
232,820,21,26,2003-09-21,Promosi
233,822,23,38,2017-07-14,Rotasi
234,828,43,23,2007-09-11,Alih Tugas
235,830,36,5,2026-04-20,Rotasi
236,835,28,21,2028-12-14,Rotasi
237,843,23,20,2017-01-05,Rotasi
238,843,18,20,2021-10-27,Rotasi
239,846,18,35,2016-05-26,Promosi
240,865,28,41,2029-11-20,Alih Tugas
241,871,13,42,2001-02-18,Rotasi
242,871,40,42,2006-11-08,Rotasi
243,871,6,42,2009-12-20,Rotasi
244,874,25,28,2027-06-01,Rotasi
245,878,15,40,2006-04-11,Alih Tugas
246,878,6,40,2011-12-17,Rotasi
247,878,28,40,2015-06-23,Promosi
248,881,22,37,2011-01-28,Rotasi
249,881,18,37,2014-06-03,Rotasi
250,889,44,23,2028-04-09,Promosi
251,891,47,1,2021-05-12,Alih Tugas
252,909,17,44,2022-12-16,Rotasi
253,910,11,35,2006-03-07,Alih Tugas
254,910,36,35,2009-08-04,Alih Tugas
255,915,33,29,2018-03-21,Alih Tugas
256,922,23,39,2025-06-06,Rotasi
257,948,31,27,2003-08-22,Alih Tugas
258,953,26,7,2016-02-15,Rotasi
259,953,43,7,2019-06-21,Rotasi
260,955,43,27,2024-01-17,Promosi
261,957,23,1,2016-01-04,Rotasi
262,964,10,34,2017-02-07,Rotasi
263,964,17,34,2021-06-12,Rotasi
264,967,21,13,2014-06-25,Rotasi
265,969,30,1,2005-08-07,Rotasi
266,970,17,10,1998-01-20,Promosi
267,970,12,10,2002-02-09,Alih Tugas
268,974,46,13,2017-12-07,Rotasi
269,974,20,13,2023-06-26,Rotasi
270,976,31,8,2008-10-11,Promosi
271,976,33,8,2011-10-24,Promosi
272,976,45,8,2014-02-27,Promosi
273,979,29,7,2017-12-11,Promosi
274,979,2,7,2021-06-21,Alih Tugas
275,981,42,39,2019-07-08,Alih Tugas
276,981,16,39,2025-12-12,Rotasi
277,983,10,18,2023-08-20,Rotasi
278,994,34,38,2028-11-20,Rotasi
279,995,46,25,2017-07-16,Alih Tugas
280,995,11,25,2021-03-23,Promosi
281,1000,12,2,2025-02-24,Promosi
282,1002,46,38,2002-01-24,Alih Tugas
283,1002,23,38,2006-12-23,Alih Tugas
284,1002,31,38,2010-10-06,Rotasi
285,1010,19,29,2025-04-01,Alih Tugas
286,1014,18,9,2016-03-07,Promosi
287,1014,18,9,2019-07-03,Promosi
288,1015,7,35,2026-04-16,Rotasi
289,1017,29,30,2001-11-02,Rotasi
290,1017,10,30,2007-12-01,Alih Tugas
291,1018,25,4,2006-11-02,Rotasi
292,1020,47,7,2006-10-23,Alih Tugas
293,1020,29,7,2009-06-24,Alih Tugas
294,1028,36,2,2028-09-02,Rotasi
295,1031,8,40,2017-08-15,Promosi
296,1042,22,34,2027-06-12,Rotasi
297,1045,42,37,2019-12-20,Rotasi
298,1047,15,43,2017-07-03,Rotasi
299,1050,21,32,2018-05-14,Rotasi
300,1050,25,32,2023-03-18,Alih Tugas
301,1064,36,25,2025-08-04,Promosi
302,1069,25,29,2020-01-03,Promosi
303,1084,39,9,2019-10-11,Rotasi
304,1084,30,9,2024-05-20,Rotasi
305,1088,47,44,2000-11-27,Rotasi
306,1089,37,38,2026-01-26,Promosi
307,1121,18,47,2006-03-09,Promosi
308,1121,30,47,2011-12-09,Promosi
309,1121,13,47,2014-10-01,Rotasi
310,1122,27,39,2023-01-19,Alih Tugas
311,1126,1,36,2013-03-08,Alih Tugas
312,1128,3,38,2014-08-09,Promosi
313,1128,44,38,2019-10-02,Alih Tugas
314,1134,36,12,2011-12-14,Rotasi
315,1134,26,12,2014-01-07,Rotasi
316,1138,4,41,2020-10-08,Rotasi
317,1142,6,24,2023-06-24,Promosi
318,1146,29,42,2027-03-10,Rotasi
319,1148,2,30,2003-04-05,Rotasi
320,1148,46,30,2006-10-19,Rotasi
321,1149,18,2,2008-04-11,Rotasi
322,1149,9,2,2011-08-03,Rotasi
323,1158,46,34,2024-04-22,Promosi
324,1171,44,14,2014-04-18,Alih Tugas
325,1171,32,14,2019-08-20,Alih Tugas
326,1173,15,46,2008-08-02,Rotasi
327,1186,25,40,2010-09-08,Alih Tugas
328,1193,18,35,2000-08-28,Rotasi
329,1194,25,35,2017-07-06,Alih Tugas
330,1194,34,35,2020-08-18,Rotasi
331,1195,7,43,1988-08-01,Promosi
332,1195,6,43,1991-10-24,Promosi
333,1195,44,43,1995-04-21,Rotasi
334,1196,3,30,2027-09-12,Alih Tugas
335,1201,37,12,2004-04-13,Rotasi
336,1201,6,12,2007-12-23,Rotasi
337,1201,33,12,2012-06-06,Rotasi
338,1202,29,5,2023-11-22,Promosi
339,1206,45,20,2027-11-17,Rotasi
340,1207,36,19,2019-08-12,Rotasi
341,1209,5,15,2018-09-11,Rotasi
342,1209,32,15,2021-01-12,Promosi
343,1226,13,28,2011-12-08,Rotasi
344,1226,20,28,2015-12-09,Rotasi
345,1234,28,19,2005-09-11,Rotasi
346,1234,30,19,2011-02-08,Rotasi
347,1249,25,5,2016-02-06,Rotasi
348,1250,27,24,2019-11-04,Promosi
349,1250,31,24,2024-01-23,Rotasi
350,1252,41,18,2028-12-15,Rotasi
351,1259,2,19,1991-08-25,Promosi
352,1261,41,20,1997-04-27,Rotasi
353,1261,40,20,2002-10-05,Promosi
354,1264,12,42,2013-10-26,Rotasi
355,1279,38,33,2004-12-26,Rotasi
356,1279,5,33,2009-10-19,Rotasi
357,1279,28,33,2014-03-15,Rotasi
358,1281,26,23,2007-12-23,Rotasi
359,1290,21,17,2029-03-08,Rotasi
360,1291,44,12,2021-05-10,Rotasi
361,1292,43,25,2004-04-14,Rotasi
362,1292,16,25,2009-01-13,Alih Tugas
363,1295,1,40,2028-02-17,Promosi
364,1301,21,7,2024-06-02,Promosi
365,1302,46,23,2029-12-05,Rotasi
366,1307,3,43,2012-11-14,Rotasi
367,1307,1,43,2018-08-04,Rotasi
368,1312,24,44,2013-08-08,Rotasi
369,1312,47,44,2016-05-26,Rotasi
370,1320,36,8,2022-08-27,Rotasi
371,1325,33,42,2029-06-22,Alih Tugas
372,1326,7,27,2009-02-04,Rotasi
373,1328,25,27,2019-01-19,Alih Tugas
374,1328,34,27,2024-10-09,Promosi
375,1330,33,46,2017-09-07,Rotasi
376,1330,21,46,2023-11-14,Promosi
377,1337,2,42,2020-01-23,Rotasi
378,1343,11,19,2003-12-11,Rotasi
379,1343,1,19,2008-06-21,Rotasi
380,1364,40,36,2018-09-05,Rotasi
381,1369,36,13,2017-04-04,Rotasi
382,1370,18,10,2018-03-27,Rotasi
383,1370,42,10,2021-07-15,Rotasi
384,1372,2,46,2028-02-17,Rotasi
385,1383,17,2,2012-12-18,Promosi
386,1390,1,28,2026-04-18,Rotasi
387,1397,30,27,2017-10-11,Rotasi
388,1398,16,31,2021-07-14,Rotasi
389,1399,18,28,2006-07-25,Rotasi
390,1422,23,24,2024-05-12,Promosi
391,1426,28,13,2028-06-24,Promosi
392,1428,23,29,2026-08-15,Alih Tugas
393,1446,23,20,2001-02-02,Rotasi
394,1446,1,20,2007-01-04,Promosi
395,1448,6,17,2027-09-05,Rotasi
396,1460,12,14,1999-09-14,Rotasi
397,1464,15,4,2008-08-26,Rotasi
398,1466,10,7,2027-08-20,Promosi
399,1469,13,6,2016-04-09,Rotasi
400,1473,39,33,2012-02-03,Alih Tugas
401,1482,21,1,2008-06-20,Promosi
402,1482,32,1,2013-02-09,Rotasi
403,1482,24,1,2017-11-10,Rotasi
404,1483,43,19,2009-11-05,Alih Tugas
405,1483,46,19,2013-08-18,Promosi
406,1494,37,41,2022-09-13,Promosi
407,1495,14,26,2022-10-21,Rotasi
408,1508,46,31,2018-07-10,Rotasi
409,1517,28,32,2007-06-23,Rotasi
410,1517,3,32,2012-03-10,Rotasi
411,1518,40,13,2020-10-21,Rotasi
412,1519,20,15,2004-03-24,Rotasi
413,1523,1,18,2029-03-16,Rotasi
414,1528,26,19,1997-10-16,Rotasi
415,1530,15,41,2011-03-16,Alih Tugas
416,1543,9,15,2018-04-09,Alih Tugas
417,1543,2,15,2023-11-21,Rotasi
418,1551,7,11,2003-07-19,Promosi
419,1551,28,11,2006-05-09,Rotasi
420,1553,15,25,2015-06-19,Alih Tugas
421,1553,28,25,2020-10-18,Rotasi
422,1554,20,43,2023-05-15,Promosi
423,1557,29,21,2006-06-17,Rotasi
424,1557,22,21,2009-11-16,Rotasi
425,1565,12,47,2028-09-07,Promosi
426,1571,31,34,2003-10-09,Alih Tugas
427,1571,13,34,2008-10-03,Promosi
428,1577,12,26,2020-01-03,Rotasi
429,1582,33,45,2007-12-06,Alih Tugas
430,1583,37,8,2006-02-15,Alih Tugas
431,1583,3,8,2010-05-12,Alih Tugas
432,1585,18,44,2005-08-24,Alih Tugas
433,1586,44,11,2025-07-13,Rotasi
434,1590,14,3,1992-01-12,Rotasi
435,1590,33,3,1996-01-09,Rotasi
436,1600,25,47,2025-07-21,Rotasi
437,1602,5,43,1999-09-10,Alih Tugas
438,1602,9,43,2002-04-25,Rotasi
439,1605,29,47,2014-04-07,Alih Tugas
440,1605,33,47,2019-09-09,Rotasi
441,1606,18,17,2028-05-23,Promosi
442,1619,45,40,2006-11-04,Promosi
443,1619,11,40,2009-06-24,Rotasi
444,1621,17,24,2027-07-13,Alih Tugas
445,1632,14,3,2019-08-16,Rotasi
446,1632,1,3,2024-07-02,Rotasi
447,1637,26,24,2003-12-10,Rotasi
448,1637,44,24,2007-02-07,Promosi
449,1637,8,24,2012-07-06,Rotasi
450,1639,44,12,2017-01-28,Rotasi
451,1639,36,12,2020-08-04,Promosi
452,1652,22,5,2009-08-28,Rotasi
453,1652,40,5,2013-07-28,Rotasi
454,1652,14,5,2018-06-01,Promosi
455,1653,31,4,2006-02-22,Rotasi
456,1653,33,4,2011-02-10,Promosi
457,1656,20,9,2002-11-20,Rotasi
458,1658,11,47,2014-11-13,Alih Tugas
459,1659,45,1,1997-04-02,Rotasi
460,1659,32,1,2001-03-15,Promosi
461,1659,4,1,2006-07-20,Rotasi
462,1673,43,15,1995-05-25,Rotasi
463,1676,13,30,2010-12-26,Rotasi
464,1714,33,20,2007-08-16,Promosi
465,1719,36,32,2019-08-14,Alih Tugas
466,1723,21,3,2028-05-11,Rotasi
467,1724,15,24,2027-01-22,Alih Tugas
468,1727,36,38,2006-11-25,Promosi
469,1742,39,20,2018-09-18,Rotasi
470,1742,40,20,2024-11-16,Promosi
471,1752,37,11,2016-08-23,Rotasi
472,1764,9,7,2019-01-22,Promosi
473,1781,41,3,2016-08-04,Rotasi
474,1781,1,3,2019-03-27,Rotasi
475,1784,18,15,2019-02-21,Alih Tugas
476,1800,12,19,2013-10-04,Rotasi
477,1800,12,19,2017-04-10,Alih Tugas
478,1804,10,13,2028-11-16,Rotasi
479,1809,43,40,2023-11-27,Promosi
480,1815,25,35,2015-08-20,Alih Tugas
481,1815,44,35,2019-06-25,Rotasi
482,1818,25,36,2010-05-10,Rotasi
483,1818,35,36,2015-07-18,Rotasi
484,1819,32,33,2027-05-08,Rotasi
485,1820,43,12,2028-11-06,Promosi
486,1825,39,35,2013-06-04,Promosi
487,1825,30,35,2018-12-22,Alih Tugas
488,1826,35,5,2002-04-09,Rotasi
489,1832,9,43,2029-03-20,Promosi
490,1837,28,6,1996-11-25,Rotasi
491,1843,16,17,2028-08-21,Rotasi
492,1845,25,36,2029-04-07,Alih Tugas
493,1848,31,27,2012-12-10,Rotasi
494,1848,35,27,2017-10-24,Alih Tugas
495,1849,32,7,2009-09-10,Alih Tugas
496,1849,5,7,2015-11-03,Rotasi
497,1849,6,7,2021-09-09,Rotasi
498,1854,16,40,2008-12-11,Alih Tugas
499,1861,35,12,1992-07-18,Promosi
500,1864,42,23,2004-10-09,Rotasi
501,1864,24,23,2007-05-03,Rotasi
502,1864,40,23,2011-12-08,Rotasi
503,1865,43,29,2001-08-07,Rotasi
504,1868,36,34,2013-03-25,Promosi
505,1868,47,34,2019-02-27,Alih Tugas
506,1872,14,37,2019-06-07,Alih Tugas
507,1872,7,37,2024-01-06,Rotasi
508,1884,26,15,2019-12-21,Promosi
509,1897,47,10,2016-01-16,Rotasi
510,1898,26,10,2029-08-11,Rotasi
511,1905,36,33,2027-03-02,Rotasi
512,1907,38,2,2020-09-25,Alih Tugas
513,1910,9,43,2016-07-22,Rotasi
514,1911,34,6,2019-06-04,Promosi
515,1912,43,17,2026-05-03,Rotasi
516,1916,36,18,2028-07-19,Alih Tugas
517,1917,24,5,2011-09-18,Rotasi
518,1921,23,1,2010-04-27,Alih Tugas
519,1926,12,13,1998-10-21,Rotasi
520,1926,38,13,2004-07-09,Promosi
521,1933,42,30,2027-10-15,Promosi
522,1940,7,19,2006-02-27,Rotasi
523,1940,13,19,2010-10-24,Promosi
524,1940,4,19,2014-03-13,Rotasi
525,1950,41,14,2006-12-23,Promosi
526,1950,31,14,2010-06-02,Rotasi
527,1954,9,1,2018-08-23,Rotasi
528,1954,18,1,2021-08-20,Rotasi
529,1965,4,16,1999-01-12,Rotasi
530,1969,1,5,2006-06-10,Rotasi
531,1973,4,46,2024-12-03,Promosi
532,1974,27,45,2018-11-08,Rotasi
533,1974,8,45,2024-09-16,Rotasi
534,1976,39,16,2011-04-08,Alih Tugas
535,1977,12,39,2005-01-09,Promosi
536,1977,18,39,2010-10-10,Rotasi
537,1977,20,39,2013-07-16,Alih Tugas
538,1978,27,30,2027-05-23,Rotasi
539,1982,5,42,2024-07-25,Rotasi
540,1983,18,17,2007-12-28,Alih Tugas
541,1983,15,17,2013-09-22,Rotasi
542,1983,20,17,2018-06-06,Rotasi
543,1984,32,21,2029-07-14,Promosi
544,2003,28,15,2019-07-15,Rotasi
545,2003,2,15,2023-04-13,Rotasi
546,2012,3,31,2026-01-22,Promosi
547,2016,4,10,2025-09-09,Rotasi
548,2018,46,5,2015-02-09,Rotasi
549,2021,29,6,2023-02-17,Rotasi
550,2027,32,3,2025-08-02,Rotasi
551,2034,47,20,2019-11-26,Alih Tugas
552,2034,6,20,2022-12-24,Promosi
553,2037,2,41,2006-01-09,Rotasi
554,2038,3,22,1999-02-27,Rotasi
555,2038,35,22,2004-03-07,Rotasi
556,2058,1,25,2014-10-22,Alih Tugas
557,2058,41,25,2018-01-14,Promosi
558,2066,33,47,2029-05-16,Rotasi
559,2070,37,47,2022-10-28,Alih Tugas
560,2073,33,15,2028-05-03,Alih Tugas
561,2075,15,12,2025-11-20,Alih Tugas
562,2076,13,22,2018-05-18,Alih Tugas
563,2076,36,22,2021-03-21,Alih Tugas
564,2092,31,11,2001-10-16,Alih Tugas
565,2092,39,11,2005-03-03,Promosi
566,2095,11,10,2029-11-11,Rotasi
567,2144,15,2,2010-10-06,Promosi
568,2148,33,24,2006-12-17,Rotasi
569,2148,22,24,2010-05-17,Rotasi
570,2148,26,24,2014-05-27,Alih Tugas
571,2151,13,25,2021-01-13,Rotasi
572,2161,11,38,2008-11-05,Promosi
573,2166,4,5,2007-07-09,Promosi
574,2174,19,36,2007-03-02,Rotasi
575,2180,45,24,2002-04-24,Rotasi
576,2187,15,5,2018-04-06,Promosi
577,2187,39,5,2022-09-27,Promosi
578,2195,5,33,2019-02-20,Rotasi
579,2195,9,33,2023-01-23,Alih Tugas
580,2206,35,40,1994-03-25,Promosi
581,2206,29,40,1997-07-18,Promosi
582,2209,3,22,2021-01-04,Rotasi
583,2215,43,19,2028-04-17,Rotasi
584,2217,7,43,2021-01-27,Rotasi
585,2220,6,16,2012-03-07,Alih Tugas
586,2220,12,16,2015-10-06,Promosi
587,2226,36,22,2018-01-02,Rotasi
588,2226,32,22,2021-07-10,Rotasi
589,2234,18,40,2008-03-20,Rotasi
590,2234,36,40,2013-06-20,Promosi
591,2234,20,40,2017-10-23,Rotasi
592,2237,35,19,1998-02-07,Rotasi
593,2237,37,19,2004-10-02,Rotasi
594,2237,35,19,2010-10-02,Promosi
595,2242,37,18,2021-11-26,Alih Tugas
596,2245,14,20,2023-12-06,Promosi
597,2246,24,34,2016-05-26,Alih Tugas
598,2251,14,35,2008-04-18,Rotasi
599,2251,40,35,2013-04-09,Rotasi
600,2257,45,38,1996-04-21,Rotasi
601,2260,38,8,2022-07-22,Rotasi
602,2262,38,37,2006-06-07,Rotasi
603,2266,32,43,2017-08-23,Rotasi
604,2266,27,43,2022-11-22,Promosi
605,2268,31,29,2010-08-04,Rotasi
606,2281,15,39,2003-10-08,Promosi
607,2281,45,39,2006-10-04,Rotasi
608,2283,43,30,2016-05-05,Rotasi
609,2283,32,30,2021-02-20,Rotasi
610,2284,32,26,2017-05-12,Alih Tugas
611,2286,7,10,1999-01-10,Rotasi
612,2286,17,10,2005-02-07,Rotasi
613,2286,23,10,2009-10-08,Rotasi
614,2290,11,42,2020-12-13,Promosi
615,2296,10,13,2008-01-16,Rotasi
616,2296,2,13,2014-04-02,Promosi
617,2296,19,13,2020-04-13,Rotasi
618,2299,2,33,2009-08-15,Promosi
619,2302,7,33,2024-06-21,Alih Tugas
620,2309,35,33,2005-05-07,Rotasi
621,2325,17,19,2004-12-26,Alih Tugas
622,2333,33,19,2013-12-24,Promosi
623,2334,12,7,2001-07-26,Rotasi
624,2334,38,7,2007-02-22,Rotasi
625,2335,20,30,1995-10-18,Promosi
626,2335,11,30,2001-03-13,Rotasi
627,2348,42,2,2024-05-26,Alih Tugas
628,2352,1,41,2018-08-04,Rotasi
629,2360,24,1,2000-06-01,Promosi
630,2360,22,1,2005-04-05,Rotasi
631,2360,31,1,2008-06-05,Alih Tugas
632,2361,39,41,1997-09-12,Alih Tugas
633,2361,3,41,2000-08-18,Alih Tugas
634,2361,26,41,2006-04-22,Alih Tugas
635,2370,31,25,1998-03-25,Rotasi
636,2370,10,25,2001-07-10,Rotasi
637,2371,20,27,2014-03-06,Rotasi
638,2371,34,27,2020-02-20,Promosi
639,2383,1,39,2008-06-06,Rotasi
