"cuti_id","pegawai_id","jenis_cuti","tanggal_mulai","tanggal_selesai","status"
78,24,Cuti Besar,2022-12-05,2022-12-28,Disetujui
79,24,Cuti Tahunan,2023-12-08,2023-12-12,Disetujui
80,24,Cuti Besar,2024-02-01,2024-02-23,Disetujui
81,24,Cuti Tahunan,2024-09-22,2024-10-04,Disetujui
82,24,Cuti Tahunan,2025-08-13,2025-08-24,Disetujui
83,24,Cuti Besar,2025-02-09,2025-03-05,Ditolak
84,24,Cuti Sakit,2026-04-12,2026-04-13,Disetujui
85,24,Cuti Tahunan,2026-11-07,2026-11-10,Disetujui
86,25,Cuti Sakit,2022-04-10,2022-04-16,Disetujui
87,25,Cuti Alasan Penting,2022-12-22,2022-12-25,Disetujui
88,25,Cuti Melahirkan,2023-01-23,2023-04-23,Disetujui
89,25,Cuti Tahunan,2023-02-22,2023-02-28,Disetujui
90,25,Cuti Melahirkan,2024-08-17,2024-11-15,Disetujui
91,25,Cuti Melahirkan,2024-02-21,2024-05-21,Disetujui
92,25,Cuti Sakit,2025-11-18,2025-11-24,Disetujui
93,25,Cuti Alasan Penting,2025-12-06,2025-12-10,Disetujui
94,25,Cuti Tahunan,2026-07-15,2026-07-25,Disetujui
95,26,Cuti Alasan Penting,2022-10-11,2022-10-14,Disetujui
96,26,Cuti Tahunan,2023-02-05,2023-02-14,Disetujui
97,26,Cuti Alasan Penting,2024-06-12,2024-06-16,Disetujui
98,26,Cuti Besar,2025-09-10,2025-10-08,Disetujui
99,27,Cuti Besar,2025-09-24,2025-10-17,Disetujui
100,27,Cuti Tahunan,2026-08-05,2026-08-12,Disetujui
101,28,Cuti Besar,2022-02-23,2022-03-22,Disetujui
102,28,Cuti Tahunan,2022-08-08,2022-08-13,Menunggu
103,28,Cuti Tahunan,2023-01-23,2023-01-27,Disetujui
104,28,Cuti Tahunan,2025-09-07,2025-09-12,Disetujui
105,29,Cuti Alasan Penting,2022-02-08,2022-02-13,Disetujui
106,29,Cuti Sakit,2023-06-02,2023-06-09,Disetujui
107,29,Cuti Tahunan,2023-04-19,2023-04-30,Disetujui
108,29,Cuti Alasan Penting,2024-05-16,2024-05-20,Disetujui
109,29,Cuti Tahunan,2025-12-19,2025-12-26,Disetujui
110,29,Cuti Tahunan,2025-03-12,2025-03-15,Disetujui
111,29,Cuti Tahunan,2026-01-23,2026-01-26,Ditolak
112,31,Cuti Alasan Penting,2022-04-16,2022-04-19,Ditolak
113,31,Cuti Besar,2025-02-01,2025-02-27,Menunggu
114,31,Cuti Besar,2026-01-25,2026-02-24,Disetujui
115,32,Cuti Tahunan,2022-08-12,2022-08-14,Disetujui
116,32,Cuti Tahunan,2023-02-14,2023-02-20,Disetujui
117,32,Cuti Tahunan,2024-05-24,2024-06-03,Disetujui
118,32,Cuti Tahunan,2025-12-21,2025-12-25,Disetujui
119,32,Cuti Alasan Penting,2025-01-17,2025-01-19,Disetujui
120,33,Cuti Tahunan,2022-03-09,2022-03-17,Disetujui
121,33,Cuti Tahunan,2023-02-16,2023-02-25,Disetujui
122,33,Cuti Tahunan,2023-05-07,2023-05-11,Ditolak
123,33,Cuti Tahunan,2025-06-19,2025-06-21,Disetujui
124,33,Cuti Tahunan,2025-12-01,2025-12-13,Disetujui
125,34,Cuti Besar,2023-07-04,2023-07-25,Disetujui
126,34,Cuti Tahunan,2024-11-18,2024-11-24,Disetujui
127,34,Cuti Sakit,2024-02-03,2024-02-04,Disetujui
128,34,Cuti Tahunan,2025-11-17,2025-11-19,Disetujui
129,34,Cuti Alasan Penting,2026-07-02,2026-07-07,Disetujui
130,35,Cuti Melahirkan,2024-11-13,2025-02-11,Disetujui
131,35,Cuti Tahunan,2025-01-20,2025-01-23,Disetujui
132,35,Cuti Tahunan,2025-01-09,2025-01-14,Menunggu
133,35,Cuti Tahunan,2026-12-03,2026-12-11,Menunggu
134,36,Cuti Besar,2022-06-09,2022-07-07,Disetujui
135,36,Cuti Sakit,2023-01-07,2023-01-11,Ditolak
136,36,Cuti Sakit,2024-01-25,2024-01-28,Disetujui
137,36,Cuti Alasan Penting,2025-05-14,2025-05-16,Ditolak
138,36,Cuti Alasan Penting,2026-03-12,2026-03-16,Disetujui
139,36,Cuti Tahunan,2026-10-12,2026-10-22,Disetujui
140,37,Cuti Alasan Penting,2022-11-06,2022-11-10,Disetujui
141,37,Cuti Tahunan,2022-02-15,2022-02-17,Disetujui
142,37,Cuti Sakit,2024-04-25,2024-04-26,Disetujui
143,37,Cuti Tahunan,2024-05-21,2024-05-25,Disetujui
144,37,Cuti Sakit,2025-07-14,2025-07-19,Disetujui
145,38,Cuti Alasan Penting,2022-05-20,2022-05-25,Menunggu
146,38,Cuti Tahunan,2022-01-17,2022-01-25,Ditolak
147,38,Cuti Sakit,2023-06-07,2023-06-12,Disetujui
148,38,Cuti Besar,2023-06-16,2023-07-09,Disetujui
149,38,Cuti Tahunan,2024-11-20,2024-12-02,Disetujui
150,38,Cuti Tahunan,2025-11-07,2025-11-10,Disetujui
151,39,Cuti Tahunan,2022-05-09,2022-05-20,Disetujui
152,39,Cuti Tahunan,2025-12-11,2025-12-22,Disetujui
153,39,Cuti Tahunan,2026-08-07,2026-08-10,Disetujui
154,39,Cuti Sakit,2026-12-06,2026-12-11,Disetujui
155,40,Cuti Sakit,2024-12-01,2024-12-02,Disetujui
156,40,Cuti Besar,2025-05-14,2025-06-06,Disetujui
157,40,Cuti Tahunan,2026-01-05,2026-01-13,Disetujui
158,41,Cuti Tahunan,2022-12-16,2022-12-28,Disetujui
159,41,Cuti Sakit,2023-05-17,2023-05-22,Disetujui
160,41,Cuti Tahunan,2024-06-14,2024-06-24,Disetujui
161,41,Cuti Sakit,2024-10-11,2024-10-13,Disetujui
162,41,Cuti Tahunan,2025-09-25,2025-10-02,Disetujui
163,42,Cuti Melahirkan,2022-12-13,2023-03-13,Disetujui
164,42,Cuti Tahunan,2023-08-20,2023-08-26,Menunggu
165,42,Cuti Alasan Penting,2024-02-03,2024-02-08,Menunggu
166,42,Cuti Tahunan,2024-06-01,2024-06-09,Disetujui
167,42,Cuti Tahunan,2025-03-23,2025-03-31,Disetujui
168,43,Cuti Tahunan,2026-09-05,2026-09-09,Disetujui
169,44,Cuti Besar,2023-12-21,2024-01-20,Disetujui
170,44,Cuti Tahunan,2024-11-18,2024-11-24,Disetujui
171,44,Cuti Tahunan,2025-08-05,2025-08-07,Disetujui
172,44,Cuti Tahunan,2026-07-18,2026-07-23,Disetujui
173,44,Cuti Tahunan,2026-10-09,2026-10-17,Disetujui
174,45,Cuti Tahunan,2022-07-04,2022-07-11,Disetujui
175,45,Cuti Tahunan,2022-05-13,2022-05-25,Disetujui
176,45,Cuti Sakit,2024-10-11,2024-10-16,Disetujui
177,45,Cuti Sakit,2025-10-12,2025-10-17,Menunggu
178,45,Cuti Tahunan,2026-10-07,2026-10-11,Disetujui
179,46,Cuti Tahunan,2022-01-18,2022-01-28,Disetujui
180,46,Cuti Sakit,2022-10-19,2022-10-22,Disetujui
181,46,Cuti Besar,2023-11-24,2023-12-18,Disetujui
182,46,Cuti Tahunan,2024-12-13,2024-12-17,Disetujui
183,46,Cuti Tahunan,2025-03-25,2025-03-30,Menunggu
184,46,Cuti Besar,2025-10-18,2025-11-08,Disetujui
185,46,Cuti Tahunan,2026-06-09,2026-06-16,Disetujui
186,47,Cuti Tahunan,2022-09-24,2022-09-26,Disetujui
187,47,Cuti Tahunan,2023-04-24,2023-05-04,Disetujui
188,47,Cuti Sakit,2024-01-06,2024-01-11,Disetujui
189,47,Cuti Tahunan,2025-03-07,2025-03-13,Disetujui
190,47,Cuti Tahunan,2026-02-24,2026-03-05,Disetujui
191,47,Cuti Tahunan,2026-02-13,2026-02-25,Menunggu
192,48,Cuti Sakit,2022-12-09,2022-12-14,Disetujui
193,48,Cuti Tahunan,2023-04-02,2023-04-10,Disetujui
194,48,Cuti Sakit,2024-11-05,2024-11-07,Disetujui
195,48,Cuti Tahunan,2025-04-23,2025-04-26,Disetujui
196,48,Cuti Tahunan,2026-04-14,2026-04-22,Disetujui
197,49,Cuti Tahunan,2025-02-06,2025-02-16,Disetujui
198,49,Cuti Sakit,2025-12-08,2025-12-09,Disetujui
199,49,Cuti Tahunan,2026-06-24,2026-07-05,Disetujui
200,49,Cuti Tahunan,2026-07-15,2026-07-25,Disetujui
201,50,Cuti Tahunan,2024-10-01,2024-10-04,Disetujui
202,50,Cuti Tahunan,2024-12-17,2024-12-19,Disetujui
203,50,Cuti Tahunan,2026-10-03,2026-10-10,Disetujui
204,51,Cuti Tahunan,2026-10-19,2026-10-23,Disetujui
205,52,Cuti Tahunan,2022-12-25,2023-01-04,Disetujui
206,52,Cuti Sakit,2022-07-21,2022-07-23,Disetujui
207,52,Cuti Alasan Penting,2023-06-17,2023-06-22,Disetujui
208,52,Cuti Alasan Penting,2025-10-19,2025-10-23,Disetujui
209,52,Cuti Tahunan,2026-01-25,2026-02-06,Disetujui
210,53,Cuti Alasan Penting,2022-03-15,2022-03-17,Disetujui
211,53,Cuti Tahunan,2023-12-22,2023-12-25,Disetujui
212,53,Cuti Alasan Penting,2023-02-24,2023-03-01,Disetujui
213,53,Cuti Alasan Penting,2026-03-12,2026-03-14,Disetujui
214,54,Cuti Tahunan,2023-10-25,2023-10-28,Disetujui
215,54,Cuti Tahunan,2024-02-01,2024-02-05,Disetujui
216,54,Cuti Tahunan,2024-08-09,2024-08-14,Disetujui
217,54,Cuti Tahunan,2025-09-22,2025-09-25,Disetujui
218,54,Cuti Besar,2026-11-23,2026-12-21,Disetujui
219,54,Cuti Tahunan,2026-06-02,2026-06-08,Disetujui
220,55,Cuti Sakit,2022-03-06,2022-03-11,Menunggu
221,55,Cuti Tahunan,2023-05-04,2023-05-08,Disetujui
222,55,Cuti Tahunan,2024-06-20,2024-06-24,Disetujui
223,55,Cuti Alasan Penting,2025-12-09,2025-12-11,Disetujui
224,55,Cuti Tahunan,2026-11-18,2026-11-29,Disetujui
225,57,Cuti Tahunan,2022-03-24,2022-03-29,Disetujui
226,57,Cuti Alasan Penting,2023-04-05,2023-04-07,Ditolak
227,57,Cuti Tahunan,2024-11-23,2024-12-05,Disetujui
228,57,Cuti Tahunan,2025-11-20,2025-12-02,Disetujui
229,57,Cuti Sakit,2026-07-08,2026-07-14,Menunggu
230,57,Cuti Alasan Penting,2026-10-18,2026-10-20,Disetujui
231,58,Cuti Tahunan,2024-11-22,2024-12-03,Menunggu
232,58,Cuti Tahunan,2025-08-07,2025-08-16,Disetujui
233,58,Cuti Sakit,2025-08-01,2025-08-02,Disetujui
234,58,Cuti Alasan Penting,2026-03-13,2026-03-16,Disetujui
235,59,Cuti Tahunan,2022-02-15,2022-02-24,Disetujui
236,59,Cuti Besar,2023-05-03,2023-05-24,Disetujui
237,59,Cuti Tahunan,2023-05-02,2023-05-10,Disetujui
238,59,Cuti Tahunan,2024-01-09,2024-01-12,Disetujui
239,59,Cuti Sakit,2024-08-21,2024-08-22,Ditolak
240,59,Cuti Tahunan,2025-04-22,2025-05-02,Disetujui
241,59,Cuti Tahunan,2026-12-24,2026-12-27,Disetujui
242,60,Cuti Tahunan,2022-06-07,2022-06-14,Menunggu
243,60,Cuti Besar,2023-07-03,2023-07-23,Disetujui
244,60,Cuti Tahunan,2024-02-09,2024-02-19,Disetujui
245,60,Cuti Alasan Penting,2025-12-15,2025-12-18,Disetujui
246,60,Cuti Tahunan,2025-11-15,2025-11-21,Disetujui
247,60,Cuti Sakit,2026-01-18,2026-01-21,Disetujui
248,61,Cuti Tahunan,2022-02-20,2022-02-22,Disetujui
249,61,Cuti Tahunan,2023-08-12,2023-08-18,Disetujui
250,61,Cuti Tahunan,2025-05-09,2025-05-12,Disetujui
251,61,Cuti Tahunan,2026-01-10,2026-01-18,Disetujui
252,62,Cuti Sakit,2024-04-17,2024-04-19,Disetujui
253,62,Cuti Besar,2024-10-02,2024-11-01,Disetujui
254,62,Cuti Tahunan,2025-04-20,2025-04-30,Disetujui
255,62,Cuti Melahirkan,2025-10-10,2026-01-08,Disetujui
256,63,Cuti Tahunan,2022-03-22,2022-03-31,Disetujui
257,63,Cuti Sakit,2023-08-15,2023-08-17,Disetujui
258,63,Cuti Tahunan,2025-05-03,2025-05-05,Disetujui
259,63,Cuti Tahunan,2026-01-21,2026-02-02,Ditolak
260,64,Cuti Sakit,2022-05-20,2022-05-23,Disetujui
261,64,Cuti Tahunan,2023-08-09,2023-08-18,Ditolak
262,64,Cuti Tahunan,2026-12-03,2026-12-09,Disetujui
263,65,Cuti Tahunan,2022-08-20,2022-08-31,Disetujui
264,65,Cuti Tahunan,2022-05-10,2022-05-19,Disetujui
265,65,Cuti Sakit,2023-07-25,2023-07-27,Disetujui
266,65,Cuti Tahunan,2024-06-16,2024-06-18,Disetujui
267,65,Cuti Sakit,2025-11-18,2025-11-21,Disetujui
268,65,Cuti Besar,2026-06-11,2026-07-01,Disetujui
269,65,Cuti Sakit,2026-06-08,2026-06-12,Disetujui
270,66,Cuti Sakit,2022-07-19,2022-07-23,Disetujui
271,66,Cuti Tahunan,2024-05-18,2024-05-28,Disetujui
272,66,Cuti Tahunan,2024-10-02,2024-10-12,Disetujui
273,66,Cuti Besar,2025-03-10,2025-04-04,Disetujui
274,66,Cuti Alasan Penting,2026-02-02,2026-02-07,Menunggu
275,67,Cuti Tahunan,2024-06-11,2024-06-14,Disetujui
276,68,Cuti Tahunan,2025-03-24,2025-04-01,Disetujui
277,68,Cuti Alasan Penting,2025-02-12,2025-02-17,Disetujui
278,68,Cuti Tahunan,2026-02-03,2026-02-08,Disetujui
279,69,Cuti Tahunan,2024-09-24,2024-10-03,Disetujui
280,69,Cuti Besar,2025-05-13,2025-06-11,Disetujui
281,70,Cuti Alasan Penting,2022-02-12,2022-02-17,Disetujui
282,70,Cuti Sakit,2022-03-25,2022-03-29,Menunggu
283,70,Cuti Tahunan,2024-11-05,2024-11-11,Ditolak
284,70,Cuti Besar,2026-04-13,2026-05-05,Disetujui
285,71,Cuti Melahirkan,2022-05-06,2022-08-04,Disetujui
286,71,Cuti Tahunan,2023-07-13,2023-07-18,Menunggu
287,71,Cuti Tahunan,2024-01-25,2024-02-06,Disetujui
288,71,Cuti Alasan Penting,2024-06-02,2024-06-07,Disetujui
289,71,Cuti Tahunan,2025-12-12,2025-12-24,Disetujui
290,72,Cuti Tahunan,2023-02-24,2023-03-01,Disetujui
291,72,Cuti Melahirkan,2023-04-19,2023-07-18,Disetujui
292,72,Cuti Alasan Penting,2025-09-10,2025-09-13,Disetujui
293,72,Cuti Tahunan,2026-02-02,2026-02-06,Disetujui
294,73,Cuti Sakit,2025-01-23,2025-01-30,Disetujui
295,73,Cuti Tahunan,2025-08-22,2025-08-24,Disetujui
296,73,Cuti Sakit,2026-07-18,2026-07-24,Disetujui
297,74,Cuti Sakit,2022-03-18,2022-03-19,Disetujui
298,74,Cuti Sakit,2023-02-16,2023-02-22,Disetujui
299,74,Cuti Tahunan,2023-10-23,2023-10-30,Disetujui
300,74,Cuti Besar,2024-09-02,2024-09-27,Disetujui
301,74,Cuti Tahunan,2025-09-05,2025-09-12,Disetujui
302,74,Cuti Tahunan,2026-07-01,2026-07-04,Disetujui
303,75,Cuti Tahunan,2022-07-25,2022-08-06,Disetujui
304,75,Cuti Tahunan,2022-04-05,2022-04-14,Disetujui
305,75,Cuti Tahunan,2023-09-08,2023-09-18,Disetujui
306,75,Cuti Sakit,2025-01-24,2025-01-28,Disetujui
307,75,Cuti Besar,2025-03-19,2025-04-11,Disetujui
308,76,Cuti Tahunan,2024-11-10,2024-11-16,Disetujui
309,76,Cuti Tahunan,2025-05-11,2025-05-22,Menunggu
310,76,Cuti Sakit,2026-11-10,2026-11-12,Disetujui
311,77,Cuti Tahunan,2022-07-01,2022-07-07,Disetujui
312,77,Cuti Tahunan,2022-07-17,2022-07-28,Disetujui
313,77,Cuti Sakit,2023-01-12,2023-01-16,Disetujui
314,77,Cuti Alasan Penting,2023-11-06,2023-11-08,Menunggu
315,77,Cuti Tahunan,2024-03-24,2024-03-31,Disetujui
316,77,Cuti Tahunan,2025-09-05,2025-09-16,Disetujui
317,77,Cuti Sakit,2025-03-21,2025-03-22,Disetujui
318,77,Cuti Tahunan,2026-10-06,2026-10-11,Disetujui
319,77,Cuti Tahunan,2026-03-24,2026-04-04,Disetujui
320,78,Cuti Sakit,2023-04-01,2023-04-07,Disetujui
321,78,Cuti Tahunan,2023-01-02,2023-01-07,Menunggu
322,78,Cuti Sakit,2024-10-15,2024-10-22,Menunggu
323,78,Cuti Alasan Penting,2024-05-13,2024-05-18,Disetujui
324,78,Cuti Tahunan,2025-07-13,2025-07-17,Disetujui
325,78,Cuti Tahunan,2026-06-11,2026-06-19,Disetujui
326,79,Cuti Besar,2026-12-13,2027-01-11,Disetujui
327,79,Cuti Tahunan,2026-02-17,2026-02-22,Disetujui
328,80,Cuti Besar,2022-10-21,2022-11-12,Disetujui
329,80,Cuti Alasan Penting,2024-08-05,2024-08-10,Disetujui
330,80,Cuti Tahunan,2026-05-25,2026-06-03,Disetujui
331,80,Cuti Tahunan,2026-11-19,2026-11-28,Disetujui
332,81,Cuti Tahunan,2022-03-03,2022-03-06,Disetujui
333,81,Cuti Tahunan,2023-09-22,2023-09-25,Disetujui
334,81,Cuti Sakit,2023-04-21,2023-04-26,Disetujui
335,81,Cuti Sakit,2025-12-07,2025-12-09,Disetujui
336,82,Cuti Tahunan,2022-11-21,2022-11-25,Ditolak
337,82,Cuti Besar,2023-10-24,2023-11-14,Disetujui
338,82,Cuti Besar,2024-01-07,2024-02-02,Disetujui
339,82,Cuti Sakit,2025-04-15,2025-04-18,Disetujui
340,82,Cuti Tahunan,2026-10-02,2026-10-04,Disetujui
341,83,Cuti Besar,2026-07-17,2026-08-16,Disetujui
342,84,Cuti Alasan Penting,2024-03-23,2024-03-27,Menunggu
343,84,Cuti Tahunan,2025-10-13,2025-10-19,Disetujui
344,84,Cuti Tahunan,2026-08-01,2026-08-06,Disetujui
345,84,Cuti Sakit,2026-11-06,2026-11-12,Menunggu
346,85,Cuti Tahunan,2023-02-03,2023-02-08,Disetujui
347,85,Cuti Sakit,2024-07-05,2024-07-12,Disetujui
348,85,Cuti Besar,2025-10-19,2025-11-08,Disetujui
349,85,Cuti Tahunan,2026-05-06,2026-05-09,Disetujui
350,85,Cuti Tahunan,2026-04-06,2026-04-13,Disetujui
351,86,Cuti Tahunan,2022-12-13,2022-12-22,Disetujui
352,86,Cuti Tahunan,2022-01-13,2022-01-15,Menunggu
353,86,Cuti Tahunan,2023-10-21,2023-10-24,Disetujui
354,86,Cuti Tahunan,2023-04-17,2023-04-21,Disetujui
355,86,Cuti Tahunan,2024-01-06,2024-01-08,Disetujui
356,86,Cuti Tahunan,2026-11-04,2026-11-14,Menunggu
357,87,Cuti Tahunan,2022-01-05,2022-01-13,Disetujui
358,87,Cuti Tahunan,2023-01-23,2023-01-29,Disetujui
359,87,Cuti Tahunan,2023-01-09,2023-01-18,Disetujui
360,87,Cuti Tahunan,2024-01-15,2024-01-18,Disetujui
361,87,Cuti Sakit,2024-03-05,2024-03-11,Disetujui
362,87,Cuti Tahunan,2025-03-18,2025-03-30,Disetujui
363,87,Cuti Tahunan,2026-10-14,2026-10-23,Disetujui
364,88,Cuti Tahunan,2022-06-12,2022-06-18,Disetujui
365,88,Cuti Tahunan,2023-11-12,2023-11-19,Disetujui
366,88,Cuti Besar,2024-12-09,2025-01-05,Disetujui
367,88,Cuti Sakit,2024-08-06,2024-08-11,Disetujui
368,88,Cuti Sakit,2025-12-21,2025-12-22,Disetujui
369,88,Cuti Sakit,2025-07-06,2025-07-07,Disetujui
370,88,Cuti Sakit,2026-03-24,2026-03-30,Disetujui
371,89,Cuti Sakit,2022-06-07,2022-06-10,Disetujui
372,89,Cuti Sakit,2023-07-23,2023-07-28,Disetujui
373,89,Cuti Melahirkan,2023-03-03,2023-06-01,Disetujui
374,89,Cuti Tahunan,2024-12-13,2024-12-23,Disetujui
375,89,Cuti Tahunan,2025-07-21,2025-07-27,Disetujui
376,89,Cuti Sakit,2025-05-03,2025-05-06,Disetujui
377,89,Cuti Sakit,2026-05-12,2026-05-14,Disetujui
378,89,Cuti Besar,2026-05-22,2026-06-14,Disetujui
379,90,Cuti Tahunan,2025-07-02,2025-07-12,Menunggu
380,90,Cuti Alasan Penting,2025-11-07,2025-11-11,Disetujui
381,91,Cuti Tahunan,2022-07-22,2022-07-28,Disetujui
382,91,Cuti Tahunan,2023-02-03,2023-02-15,Disetujui
383,91,Cuti Tahunan,2023-06-10,2023-06-15,Menunggu
384,91,Cuti Besar,2024-04-19,2024-05-12,Disetujui
385,91,Cuti Sakit,2025-12-22,2025-12-29,Disetujui
386,91,Cuti Tahunan,2025-03-05,2025-03-07,Disetujui
387,91,Cuti Tahunan,2026-03-07,2026-03-14,Disetujui
388,91,Cuti Tahunan,2026-10-22,2026-10-25,Disetujui
389,92,Cuti Besar,2022-05-23,2022-06-20,Disetujui
390,92,Cuti Sakit,2023-11-04,2023-11-06,Disetujui
391,92,Cuti Besar,2025-04-01,2025-04-28,Disetujui
392,93,Cuti Tahunan,2022-02-18,2022-02-26,Disetujui
393,93,Cuti Tahunan,2022-08-18,2022-08-20,Disetujui
394,93,Cuti Tahunan,2023-03-16,2023-03-20,Disetujui
395,93,Cuti Tahunan,2025-10-09,2025-10-21,Ditolak
396,94,Cuti Sakit,2022-10-15,2022-10-17,Ditolak
397,94,Cuti Tahunan,2022-12-10,2022-12-17,Disetujui
398,94,Cuti Besar,2023-07-25,2023-08-16,Disetujui
399,94,Cuti Tahunan,2025-10-15,2025-10-22,Disetujui
400,94,Cuti Tahunan,2025-08-22,2025-08-27,Disetujui
401,95,Cuti Tahunan,2023-11-21,2023-11-25,Disetujui
402,95,Cuti Alasan Penting,2024-06-17,2024-06-19,Disetujui
403,95,Cuti Tahunan,2024-10-14,2024-10-20,Disetujui
404,95,Cuti Tahunan,2025-05-24,2025-05-31,Disetujui
405,95,Cuti Sakit,2026-01-13,2026-01-16,Disetujui
406,96,Cuti Tahunan,2022-03-06,2022-03-09,Disetujui
407,96,Cuti Tahunan,2022-01-14,2022-01-22,Disetujui
408,96,Cuti Melahirkan,2023-11-08,2024-02-06,Disetujui
409,96,Cuti Tahunan,2024-09-14,2024-09-26,Disetujui
410,96,Cuti Tahunan,2026-05-09,2026-05-20,Disetujui
411,96,Cuti Alasan Penting,2026-03-16,2026-03-19,Disetujui
