"riwayat_pendidikan_id","pegawai_id","pendidikan_id","nama_universitas","program_studi","tahun_lulus"
216,97,4,BINUS University,Administrasi Negara,2013
217,98,1,,,2016
218,98,4,Institut Teknologi Bandung,Ekonomi,2020
219,99,1,,,1990
220,99,4,Universitas Hasanuddin,Sistem Informasi,1994
221,100,1,,,1992
222,100,4,Universitas Sriwijaya,Sistem Informasi,1996
223,101,1,,,2000
224,101,4,Institut Pertanian Bogor,Matematika,2004
225,101,5,Universitas Negeri Yogyakarta,Kesehatan Masyarakat,2006
226,102,1,,,1983
227,102,4,Universitas Brawijaya,Teknik Informatika,1987
228,103,1,,,1990
229,103,4,Universitas Hasanuddin,Sistem Informasi,1994
230,104,1,,,1996
231,104,4,Universitas Indonesia,Teknik Sipil,2000
232,105,1,,,2021
233,105,2,Institut Pertanian Bogor,Sistem Informasi,2024
234,106,1,,,1988
235,106,4,Universitas Hasanuddin,Teknik Sipil,1992
236,106,5,Universitas Sriwijaya,Ekonomi,1994
237,107,1,,,1983
238,107,4,Institut Pertanian Bogor,Ilmu Komputer,1987
239,107,5,Universitas Padjadjaran,Administrasi Negara,1989
240,108,1,,,1990
241,108,4,Universitas Airlangga,Matematika,1994
242,109,1,,,2008
243,109,4,Institut Pertanian Bogor,Administrasi Negara,2012
244,110,1,,,2009
245,110,4,Telkom University,Manajemen,2013
246,111,1,,,2003
247,111,4,Universitas Negeri Jakarta,Administrasi Publik,2007
248,111,5,BINUS University,Akuntansi,2009
249,112,1,,,1985
250,112,4,Universitas Negeri Yogyakarta,Sistem Informasi,1989
251,113,1,,,1987
252,113,4,Universitas Indonesia,Administrasi Publik,1991
253,113,5,Universitas Hasanuddin,Manajemen,1993
254,114,1,,,2000
255,114,4,Universitas Negeri Yogyakarta,Akuntansi,2004
256,115,1,,,2011
257,115,4,Universitas Indonesia,Ilmu Komputer,2015
258,116,1,,,2005
259,116,4,Universitas Padjadjaran,Ekonomi,2009
260,117,1,,,2003
261,117,4,Universitas Airlangga,Kesehatan Masyarakat,2007
262,118,1,,,2014
263,118,4,Institut Pertanian Bogor,Statistika,2018
264,119,1,,,2016
265,119,4,Universitas Negeri Jakarta,Administrasi Negara,2020
266,119,5,Universitas Hasanuddin,Akuntansi,2022
267,120,1,,,2021
268,120,4,Universitas Negeri Yogyakarta,Matematika,2025
269,121,1,,,2020
270,121,4,Institut Teknologi Bandung,Ekonomi,2024
271,122,1,,,1999
272,122,4,Institut Pertanian Bogor,Teknik Sipil,2003
273,123,1,,,2015
274,123,2,Universitas Negeri Yogyakarta,Administrasi Publik,2018
275,124,1,,,2015
276,124,4,Institut Teknologi Bandung,Manajemen,2019
277,125,1,,,2014
278,125,4,Universitas Hasanuddin,Ilmu Komputer,2018
279,125,5,Universitas Gadjah Mada,Administrasi Negara,2020
280,126,1,,,2012
281,126,4,Universitas Sebelas Maret,Ekonomi,2016
282,127,1,,,1982
283,127,4,Universitas Sriwijaya,Administrasi Publik,1986
284,128,1,,,1989
285,128,4,Universitas Sriwijaya,Matematika,1993
286,129,1,,,2020
287,129,4,Institut Teknologi Bandung,Kesehatan Masyarakat,2024
288,130,1,,,1988
289,130,4,Universitas Padjadjaran,Ilmu Komputer,1992
290,131,1,,,1989
291,131,4,Universitas Sriwijaya,Manajemen,1993
292,131,5,Universitas Brawijaya,Teknik Industri,1995
293,132,1,,,1982
294,132,4,Institut Teknologi Bandung,Teknik Informatika,1986
295,133,1,,,1986
296,133,4,Universitas Sebelas Maret,Manajemen,1990
297,134,1,,,2002
298,134,4,Universitas Indonesia,Teknik Informatika,2006
299,135,1,,,2010
300,135,4,Universitas Hasanuddin,Matematika,2014
301,136,1,,,2000
302,136,4,Telkom University,Kesehatan Masyarakat,2004
303,137,1,,,1987
304,137,4,Universitas Gadjah Mada,Ekonomi,1991
305,138,1,,,1993
306,138,4,Universitas Sriwijaya,Teknik Sipil,1997
307,138,5,Universitas Diponegoro,Matematika,1999
308,139,1,,,2020
309,139,4,BINUS University,Statistika,2024
310,140,1,,,2001
311,140,4,Universitas Negeri Yogyakarta,Statistika,2005
312,140,5,Universitas Hasanuddin,Administrasi Publik,2007
313,141,1,,,2018
314,141,4,Universitas Negeri Yogyakarta,Ekonomi,2022
315,141,5,Universitas Hasanuddin,Matematika,2024
316,142,1,,,2005
317,142,4,Universitas Padjadjaran,Administrasi Negara,2009
318,143,1,,,2004
319,143,4,Universitas Negeri Yogyakarta,Ilmu Komputer,2008
320,144,1,,,1985
321,144,4,Telkom University,Administrasi Publik,1989
322,145,1,,,1989
323,145,4,Universitas Brawijaya,Statistika,1993
324,146,1,,,1995
325,146,4,Universitas Indonesia,Teknik Informatika,1999
326,146,5,Institut Pertanian Bogor,Administrasi Negara,2001
327,147,1,,,2000
328,147,4,Institut Pertanian Bogor,Kesehatan Masyarakat,2004
329,148,1,,,1984
330,148,4,Universitas Gadjah Mada,Statistika,1988
331,148,5,Universitas Diponegoro,Akuntansi,1990
332,149,1,,,2019
333,149,4,Telkom University,Statistika,2023
334,150,1,,,2001
335,150,4,Universitas Sebelas Maret,Statistika,2005
336,151,1,,,1983
337,151,4,Universitas Airlangga,Administrasi Publik,1987
338,152,1,,,1984
339,152,4,Universitas Sebelas Maret,Teknik Sipil,1988
340,153,1,,,2018
341,153,4,Universitas Indonesia,Administrasi Publik,2022
342,154,1,,,2002
343,154,4,BINUS University,Sistem Informasi,2006
344,155,1,,,2002
345,155,4,Telkom University,Administrasi Publik,2006
346,156,1,,,2001
347,156,4,Universitas Negeri Jakarta,Manajemen,2005
348,157,1,,,2020
349,157,2,Universitas Brawijaya,Statistika,2023
350,158,1,,,1988
351,158,4,Universitas Brawijaya,Ekonomi,1992
352,158,5,Universitas Gadjah Mada,Akuntansi,1994
353,159,1,,,1986
354,159,4,Universitas Gadjah Mada,Ekonomi,1990
355,160,1,,,2012
356,160,4,Institut Pertanian Bogor,Matematika,2016
357,161,1,,,1997
358,161,4,Universitas Padjadjaran,Teknik Sipil,2001
359,162,1,,,1985
360,162,4,Institut Pertanian Bogor,Matematika,1989
361,163,1,,,2009
362,163,4,Institut Pertanian Bogor,Akuntansi,2013
363,164,1,,,2016
364,164,2,Institut Pertanian Bogor,Administrasi Negara,2019
365,165,1,,,2017
366,165,4,Universitas Padjadjaran,Teknik Sipil,2021
367,166,1,,,1983
368,166,4,Universitas Diponegoro,Matematika,1987
369,166,5,Universitas Hasanuddin,Matematika,1989
370,167,1,,,1987
371,167,4,Universitas Indonesia,Statistika,1991
372,168,1,,,2003
373,168,4,Institut Pertanian Bogor,Kesehatan Masyarakat,2007
374,168,5,Universitas Negeri Jakarta,Hukum,2009
375,169,1,,,2014
376,169,4,Universitas Brawijaya,Hukum,2018
377,170,1,,,1995
378,170,4,Universitas Gadjah Mada,Administrasi Publik,1999
379,171,1,,,2001
380,171,4,Universitas Diponegoro,Teknik Sipil,2005
381,172,1,,,2005
382,172,4,Universitas Indonesia,Manajemen,2009
383,172,5,Universitas Negeri Yogyakarta,Statistika,2011
384,173,1,,,2009
385,173,4,Universitas Airlangga,Hukum,2013
386,174,1,,,2003
387,174,4,Telkom University,Manajemen,2007
388,175,1,,,1989
389,175,4,Universitas Negeri Yogyakarta,Akuntansi,1993
390,176,1,,,1999
391,176,4,Universitas Diponegoro,Administrasi Publik,2003
392,176,5,Universitas Sebelas Maret,Teknik Industri,2005
393,177,1,,,2014
394,177,4,Universitas Negeri Jakarta,Sistem Informasi,2018
395,178,1,,,1990
396,178,4,Universitas Padjadjaran,Administrasi Negara,1994
397,179,1,,,1992
398,179,4,Universitas Sebelas Maret,Akuntansi,1996
399,180,1,,,2009
400,180,4,BINUS University,Sistem Informasi,2013
401,181,1,,,2021
402,181,4,Universitas Indonesia,Teknik Informatika,2025
403,182,1,,,2020
404,182,2,Universitas Padjadjaran,Teknik Informatika,2023
405,183,1,,,2015
406,183,4,Universitas Hasanuddin,Teknik Industri,2019
407,184,1,,,2015
408,184,4,Universitas Negeri Jakarta,Akuntansi,2019
409,184,5,Universitas Gadjah Mada,Manajemen,2021
410,185,1,,,2013
411,185,4,Universitas Brawijaya,Akuntansi,2017
412,185,5,Universitas Sriwijaya,Teknik Industri,2019
413,186,1,,,2006
414,186,4,Universitas Indonesia,Kesehatan Masyarakat,2010
415,187,1,,,2008
416,187,4,Universitas Padjadjaran,Matematika,2012
417,188,1,,,2011
418,188,4,Universitas Negeri Yogyakarta,Hukum,2015
419,189,1,,,2018
420,189,4,Universitas Negeri Jakarta,Matematika,2022
421,190,1,,,2021
422,190,2,Universitas Padjadjaran,Teknik Industri,2024
423,191,1,,,1986
424,191,4,Institut Teknologi Bandung,Sistem Informasi,1990
425,192,1,,,1994
426,192,4,Universitas Sriwijaya,Akuntansi,1998
427,193,1,,,1995
428,193,4,Institut Pertanian Bogor,Sistem Informasi,1999
429,194,1,,,1999
430,194,4,Universitas Brawijaya,Administrasi Negara,2003
431,195,1,,,2009
432,195,4,Universitas Airlangga,Kesehatan Masyarakat,2013
433,196,1,,,1994
434,196,4,Universitas Diponegoro,Kesehatan Masyarakat,1998
435,197,1,,,1987
436,197,4,Telkom University,Manajemen,1991
437,198,1,,,2017
438,198,2,Universitas Negeri Yogyakarta,Administrasi Publik,2020
439,199,1,,,1985
440,199,4,Universitas Padjadjaran,Statistika,1989
441,199,5,Universitas Negeri Jakarta,Teknik Industri,1991
442,199,6,Universitas Padjadjaran,Teknik Sipil,1995
443,200,1,,,1990
444,200,4,Universitas Diponegoro,Hukum,1994
445,201,1,,,1997
446,201,4,Telkom University,Teknik Sipil,2001
447,201,5,Universitas Gadjah Mada,Manajemen,2003
448,201,6,BINUS University,Kesehatan Masyarakat,2007
449,202,1,,,1984
450,202,4,Institut Teknologi Bandung,Administrasi Publik,1988
451,203,1,,,2007
452,203,4,Universitas Airlangga,Matematika,2011
453,203,5,Universitas Hasanuddin,Teknik Industri,2013
454,204,1,,,1992
455,204,4,BINUS University,Ilmu Komputer,1996
456,204,5,Universitas Sriwijaya,Kesehatan Masyarakat,1998
457,205,1,,,2019
458,205,2,Universitas Brawijaya,Ilmu Komputer,2022
459,206,1,,,2000
460,206,4,Institut Pertanian Bogor,Teknik Industri,2004
461,206,5,Institut Teknologi Bandung,Kesehatan Masyarakat,2006
462,207,1,,,2009
463,207,4,Institut Teknologi Bandung,Teknik Informatika,2013
464,208,1,,,1998
465,208,4,Universitas Diponegoro,Manajemen,2002
466,209,1,,,2004
467,209,4,Institut Pertanian Bogor,Manajemen,2008
468,210,1,,,1985
469,210,4,Universitas Sriwijaya,Ilmu Komputer,1989
470,211,1,,,2021
471,211,4,Telkom University,Teknik Industri,2025
472,212,1,,,2016
473,212,4,Universitas Hasanuddin,Teknik Informatika,2020
474,212,5,Universitas Gadjah Mada,Kesehatan Masyarakat,2022
475,213,1,,,1999
476,213,4,Universitas Indonesia,Teknik Industri,2003
477,214,1,,,1987
478,214,4,Institut Pertanian Bogor,Ekonomi,1991
479,214,5,Telkom University,Manajemen,1993
480,215,1,,,1989
481,215,4,Universitas Hasanuddin,Administrasi Negara,1993
482,216,1,,,1985
483,216,4,Institut Teknologi Bandung,Kesehatan Masyarakat,1989
484,216,5,Universitas Diponegoro,Administrasi Negara,1991
485,217,1,,,2009
486,217,4,Universitas Padjadjaran,Hukum,2013
487,218,1,,,2018
488,218,4,Universitas Diponegoro,Teknik Informatika,2022
489,219,1,,,1988
490,219,4,Universitas Negeri Jakarta,Statistika,1992
491,219,5,Universitas Sriwijaya,Hukum,1994
492,220,1,,,2003
493,220,4,Universitas Indonesia,Administrasi Publik,2007
494,221,1,,,2016
495,221,4,Universitas Hasanuddin,Teknik Informatika,2020
496,222,1,,,1994
497,222,4,Universitas Hasanuddin,Manajemen,1998
498,222,5,Universitas Diponegoro,Administrasi Publik,2000
499,223,1,,,1997
500,223,4,Institut Teknologi Bandung,Akuntansi,2001
501,223,5,Universitas Diponegoro,Sistem Informasi,2003
502,224,1,,,1993
503,224,4,Telkom University,Ekonomi,1997
504,225,1,,,1996
505,225,4,Universitas Padjadjaran,Teknik Industri,2000
506,226,1,,,2005
507,226,2,Universitas Padjadjaran,Hukum,2008
508,227,1,,,2010
509,227,4,Universitas Padjadjaran,Ilmu Komputer,2014
510,228,1,,,2020
511,228,4,Universitas Gadjah Mada,Teknik Industri,2024
512,229,1,,,2005
513,229,4,Universitas Diponegoro,Teknik Industri,2009
514,230,1,,,1982
515,230,4,BINUS University,Statistika,1986
516,231,1,,,1991
517,231,4,Universitas Airlangga,Statistika,1995
518,232,1,,,1990
519,232,4,BINUS University,Administrasi Negara,1994
520,233,1,,,2020
521,233,4,BINUS University,Teknik Industri,2024
522,234,1,,,1993
523,234,4,Universitas Brawijaya,Akuntansi,1997
524,234,5,Universitas Gadjah Mada,Matematika,1999
525,235,1,,,1993
526,235,4,Universitas Sebelas Maret,Teknik Industri,1997
527,236,1,,,2021
528,236,4,Universitas Brawijaya,Sistem Informasi,2025
529,237,1,,,1983
530,237,4,Universitas Padjadjaran,Manajemen,1987
531,238,1,,,2014
532,238,4,Universitas Brawijaya,Teknik Industri,2018
533,239,1,,,1997
534,239,4,Universitas Diponegoro,Teknik Informatika,2001
535,239,5,Universitas Padjadjaran,Akuntansi,2003
536,240,1,,,2004
537,240,4,Universitas Airlangga,Administrasi Publik,2008
538,240,5,Universitas Negeri Yogyakarta,Administrasi Publik,2010
539,241,1,,,1996
540,241,4,Universitas Gadjah Mada,Statistika,2000
541,242,1,,,2006
542,242,4,Universitas Gadjah Mada,Kesehatan Masyarakat,2010
543,243,1,,,2008
544,243,4,Universitas Sebelas Maret,Statistika,2012
545,244,1,,,1998
546,244,4,Universitas Padjadjaran,Ilmu Komputer,2002
547,245,1,,,2022
548,245,4,Universitas Hasanuddin,Teknik Industri,2026
549,246,1,,,1987
550,246,4,Institut Teknologi Bandung,Teknik Industri,1991
551,246,5,Universitas Padjadjaran,Administrasi Publik,1993
552,247,1,,,2003
553,247,4,Telkom University,Administrasi Publik,2007
554,248,1,,,2006
555,248,4,Universitas Sebelas Maret,Sistem Informasi,2010
556,249,1,,,1993
557,249,4,Universitas Sebelas Maret,Teknik Informatika,1997
558,250,1,,,2008
559,250,4,Universitas Padjadjaran,Statistika,2012
560,251,1,,,1997
561,251,4,Universitas Hasanuddin,Teknik Industri,2001
562,252,1,,,2015
563,252,4,Universitas Gadjah Mada,Teknik Industri,2019
564,253,1,,,1987
565,253,4,Universitas Sebelas Maret,Matematika,1991
566,254,1,,,2015
567,254,4,Institut Pertanian Bogor,Manajemen,2019
568,255,1,,,1989
569,255,4,Universitas Airlangga,Ekonomi,1993
570,255,5,Universitas Negeri Jakarta,Sistem Informasi,1995
571,256,1,,,1990
572,256,4,Universitas Hasanuddin,Teknik Sipil,1994
573,257,1,,,1982
574,257,4,Universitas Hasanuddin,Teknik Informatika,1986
575,257,5,Universitas Gadjah Mada,Ilmu Komputer,1988
576,258,1,,,1996
577,258,4,Universitas Sebelas Maret,Teknik Informatika,2000
578,258,5,Universitas Airlangga,Teknik Industri,2002
579,259,1,,,1992
580,259,4,Institut Pertanian Bogor,Ekonomi,1996
581,260,1,,,1985
582,260,4,Institut Pertanian Bogor,Administrasi Negara,1989
583,260,5,Universitas Padjadjaran,Administrasi Publik,1991
584,261,1,,,1982
585,261,4,Universitas Negeri Jakarta,Manajemen,1986
586,262,1,,,1981
587,262,4,Institut Pertanian Bogor,Teknik Sipil,1985
588,262,5,Institut Pertanian Bogor,Administrasi Publik,1987
589,263,1,,,1997
590,263,4,Universitas Negeri Jakarta,Hukum,2001
591,264,1,,,2002
592,264,4,Universitas Hasanuddin,Ekonomi,2006
593,264,5,Universitas Diponegoro,Kesehatan Masyarakat,2008
594,265,1,,,2007
595,265,4,Universitas Airlangga,Teknik Informatika,2011
596,266,1,,,2007
597,266,2,Telkom University,Kesehatan Masyarakat,2010
598,267,1,,,1983
599,267,4,Universitas Padjadjaran,Teknik Sipil,1987
600,268,1,,,2020
601,268,4,Universitas Brawijaya,Administrasi Negara,2024
602,269,1,,,2020
603,269,4,Universitas Negeri Jakarta,Ekonomi,2024
604,270,1,,,2006
605,270,4,Universitas Diponegoro,Ekonomi,2010
606,270,5,Universitas Sebelas Maret,Manajemen,2012
607,271,1,,,2001
608,271,4,Institut Teknologi Bandung,Statistika,2005
609,272,1,,,1982
610,272,4,Universitas Hasanuddin,Administrasi Negara,1986
611,272,5,Institut Teknologi Bandung,Manajemen,1988
612,273,1,,,1987
613,273,4,Universitas Padjadjaran,Teknik Informatika,1991
614,274,1,,,1993
615,274,4,Universitas Negeri Jakarta,Ilmu Komputer,1997
616,274,5,Universitas Sriwijaya,Teknik Informatika,1999
617,274,6,Institut Pertanian Bogor,Teknik Sipil,2003
618,275,1,,,2010
619,275,2,Universitas Padjadjaran,Ilmu Komputer,2013
620,276,1,,,1986
621,276,4,Universitas Airlangga,Hukum,1990
622,277,1,,,2004
623,277,4,Institut Pertanian Bogor,Manajemen,2008
624,278,1,,,2001
625,278,4,Universitas Padjadjaran,Sistem Informasi,2005
626,279,1,,,2008
627,279,4,Universitas Hasanuddin,Manajemen,2012
628,280,1,,,2001
629,280,4,Universitas Sebelas Maret,Manajemen,2005
630,280,5,Universitas Gadjah Mada,Administrasi Negara,2007
631,281,1,,,2006
632,281,4,Institut Teknologi Bandung,Akuntansi,2010
633,282,1,,,1985
634,282,4,Institut Pertanian Bogor,Teknik Informatika,1989
635,283,1,,,2000
636,283,4,Institut Teknologi Bandung,Manajemen,2004
637,284,1,,,2008
638,284,4,Universitas Indonesia,Ekonomi,2012
639,285,1,,,1999
640,285,4,Universitas Diponegoro,Ekonomi,2003
641,285,5,Universitas Negeri Yogyakarta,Manajemen,2005
642,286,1,,,2021
643,286,4,Universitas Gadjah Mada,Statistika,2025
644,287,1,,,2013
645,287,4,Universitas Airlangga,Manajemen,2017
646,288,1,,,2017
647,288,4,Universitas Gadjah Mada,Teknik Industri,2021
648,289,1,,,1989
649,289,4,Telkom University,Akuntansi,1993
650,290,1,,,1991
651,290,4,Institut Pertanian Bogor,Administrasi Negara,1995
652,291,1,,,2008
653,291,4,Universitas Hasanuddin,Hukum,2012
654,292,1,,,2020
655,292,4,Universitas Airlangga,Administrasi Negara,2024
656,293,1,,,1986
657,293,4,Universitas Sebelas Maret,Matematika,1990
658,294,1,,,2021
659,294,2,Universitas Brawijaya,Ekonomi,2024
660,295,1,,,1999
661,295,4,Telkom University,Ilmu Komputer,2003
662,296,1,,,2019
663,296,4,Universitas Sriwijaya,Statistika,2023
664,297,1,,,1994
665,297,4,Universitas Airlangga,Administrasi Publik,1998
666,297,5,Universitas Diponegoro,Administrasi Publik,2000
667,298,1,,,2004
668,298,4,Universitas Brawijaya,Kesehatan Masyarakat,2008
669,299,1,,,1999
670,299,4,Telkom University,Teknik Sipil,2003
