"riwayat_jabatan_id","pegawai_id","jabatan_id","instansi_id","tanggal_mulai","tanggal_selesai"
76756,75,3,32,2012-07-05,2016-07-05
76757,75,2,32,2016-07-05,2020-07-05
76758,75,1,32,2020-07-05,
76759,76,1,23,2024-11-17,
76760,77,6,28,2022-08-13,
76761,78,15,46,2015-05-22,2018-05-22
76762,78,1,46,2018-05-22,2021-05-22
76763,78,13,46,2021-05-22,
76764,79,8,41,2026-07-06,
76765,80,20,7,2007-01-02,2013-01-02
76766,80,15,7,2013-01-02,2019-01-02
76767,80,6,7,2019-01-02,
76768,81,23,24,2012-12-20,2016-12-20
76769,81,8,24,2016-12-20,2020-12-20
76770,81,18,24,2020-12-20,
76771,82,16,37,2021-10-08,2023-10-08
76772,82,5,37,2023-10-08,
76773,83,18,40,2026-04-26,
76774,84,15,33,1994-09-09,2002-09-09
76775,84,1,33,2002-09-09,2010-09-09
76776,84,11,33,2010-09-09,2018-09-09
76777,84,18,33,2018-09-09,
76778,85,21,10,2009-01-17,2014-01-17
76779,85,2,10,2014-01-17,2019-01-17
76780,85,18,10,2019-01-17,
76781,86,5,9,2017-08-01,2021-08-01
76782,86,2,9,2021-08-01,
76783,87,20,45,2011-02-19,2016-02-19
76784,87,3,45,2016-02-19,2021-02-19
76785,87,22,45,2021-02-19,
76786,88,17,47,1996-08-15,2003-08-15
76787,88,14,47,2003-08-15,2010-08-15
76788,88,18,47,2010-08-15,2017-08-15
76789,88,3,47,2017-08-15,
76790,89,1,23,1989-02-17,1998-02-17
76791,89,22,23,1998-02-17,2007-02-17
76792,89,2,23,2007-02-17,2016-02-17
76793,89,23,23,2016-02-17,
76794,90,6,1,2025-12-21,
76795,91,5,10,2005-12-23,2010-12-23
76796,91,10,10,2010-12-23,2015-12-23
76797,91,4,10,2015-12-23,2020-12-23
76798,91,16,10,2020-12-23,
76799,92,8,28,2012-09-10,2016-09-10
76800,92,12,28,2016-09-10,2020-09-10
76801,92,5,28,2020-09-10,
76802,93,1,8,2019-01-12,2022-01-12
76803,93,23,8,2022-01-12,
76804,94,13,11,1989-10-11,1998-10-11
76805,94,9,11,1998-10-11,2007-10-11
76806,94,23,11,2007-10-11,2016-10-11
76807,94,3,11,2016-10-11,
76808,95,20,23,2015-06-25,2018-06-25
76809,95,14,23,2018-06-25,2021-06-25
76810,95,2,23,2021-06-25,
76811,96,4,8,2019-05-15,2022-05-15
76812,96,11,8,2022-05-15,
76813,97,4,20,2022-04-01,
76814,98,18,37,2020-08-24,2023-08-24
76815,98,20,37,2023-08-24,
76816,99,1,17,2010-01-09,2015-01-09
76817,99,2,17,2015-01-09,2020-01-09
76818,99,4,17,2020-01-09,
76819,100,23,22,2019-06-09,2022-06-09
76820,100,21,22,2022-06-09,
76821,101,19,7,2005-08-28,2010-08-28
76822,101,15,7,2010-08-28,2015-08-28
76823,101,8,7,2015-08-28,2020-08-28
76824,101,3,7,2020-08-28,
76825,102,14,28,1996-03-24,2003-03-24
76826,102,18,28,2003-03-24,2010-03-24
76827,102,13,28,2010-03-24,2017-03-24
76828,102,2,28,2017-03-24,
76829,103,14,18,2007-12-22,2013-12-22
76830,103,12,18,2013-12-22,2019-12-22
76831,103,18,18,2019-12-22,
76832,104,18,20,2013-06-20,2017-06-20
76833,104,3,20,2017-06-20,2021-06-20
76834,104,7,20,2021-06-20,
76835,105,5,16,2025-04-12,
76836,106,8,43,2006-10-24,2011-10-24
76837,106,3,43,2011-10-24,2016-10-24
76838,106,15,43,2016-10-24,2021-10-24
76839,106,7,43,2021-10-24,
76840,107,11,25,2004-06-09,2009-06-09
76841,107,10,25,2009-06-09,2014-06-09
76842,107,4,25,2014-06-09,2019-06-09
76843,107,9,25,2019-06-09,
76844,108,11,42,2019-03-26,2022-03-26
76845,108,23,42,2022-03-26,
76846,109,23,24,2014-09-16,2018-09-16
76847,109,14,24,2018-09-16,2022-09-16
76848,109,12,24,2022-09-16,
76849,110,19,6,2023-07-03,
76850,111,6,9,2011-03-05,2016-03-05
76851,111,3,9,2016-03-05,2021-03-05
76852,111,8,9,2021-03-05,
76853,112,18,30,2012-10-28,2016-10-28
76854,112,3,30,2016-10-28,2020-10-28
76855,112,16,30,2020-10-28,
76856,113,5,33,2016-07-11,2019-07-11
76857,113,8,33,2019-07-11,2022-07-11
76858,113,3,33,2022-07-11,
76859,114,21,3,2007-05-28,2013-05-28
76860,114,7,3,2013-05-28,2019-05-28
76861,114,12,3,2019-05-28,
76862,115,1,14,2018-05-10,2022-05-10
76863,115,7,14,2022-05-10,
76864,116,4,42,2023-02-02,
76865,117,11,29,2015-08-22,2018-08-22
76866,117,16,29,2018-08-22,2021-08-22
76867,117,4,29,2021-08-22,
76868,118,19,46,2020-06-15,2023-06-15
76869,118,10,46,2023-06-15,
76870,119,17,22,2022-11-13,
76871,120,13,29,2025-09-19,
76872,121,23,47,2026-04-09,
76873,122,22,21,2020-10-20,2023-10-20
76874,122,7,21,2023-10-20,
76875,123,8,30,2020-07-04,2023-07-04
76876,123,7,30,2023-07-04,
76877,124,7,25,2020-12-06,2023-12-06
76878,124,14,25,2023-12-06,
76879,125,21,13,2023-05-14,
76880,126,6,21,2017-04-09,2021-04-09
76881,126,12,21,2021-04-09,
76882,127,1,29,1996-08-20,2003-08-20
76883,127,4,29,2003-08-20,2010-08-20
76884,127,14,29,2010-08-20,2017-08-20
76885,127,3,29,2017-08-20,
76886,128,7,47,2026-05-25,
76887,129,19,26,2025-03-20,
76888,130,9,45,1997-05-23,2004-05-23
76889,130,10,45,2004-05-23,2011-05-23
76890,130,3,45,2011-05-23,2018-05-23
76891,130,12,45,2018-05-23,
76892,131,8,8,2020-09-24,2023-09-24
76893,131,4,8,2023-09-24,
76894,132,8,12,2002-02-02,2008-02-02
76895,132,16,12,2008-02-02,2014-02-02
76896,132,4,12,2014-02-02,2020-02-02
76897,132,2,12,2020-02-02,
76898,133,5,43,1996-08-23,2003-08-23
76899,133,6,43,2003-08-23,2010-08-23
76900,133,20,43,2010-08-23,2017-08-23
76901,133,3,43,2017-08-23,
76902,134,12,46,2020-03-20,2023-03-20
76903,134,5,46,2023-03-20,
76904,135,23,19,2014-09-02,2018-09-02
76905,135,3,19,2018-09-02,2022-09-02
76906,135,14,19,2022-09-02,
76907,136,11,10,2005-08-16,2010-08-16
76908,136,22,10,2010-08-16,2015-08-16
76909,136,6,10,2015-08-16,2020-08-16
76910,136,18,10,2020-08-16,
76911,137,9,27,2003-11-28,2008-11-28
76912,137,16,27,2008-11-28,2013-11-28
76913,137,20,27,2013-11-28,2018-11-28
76914,137,1,27,2018-11-28,
76915,138,10,9,1999-11-07,2005-11-07
76916,138,23,9,2005-11-07,2011-11-07
76917,138,11,9,2011-11-07,2017-11-07
76918,138,20,9,2017-11-07,
76919,139,10,2,2026-01-14,
76920,140,5,12,2026-07-24,
76921,141,6,44,2022-11-03,
76922,142,12,42,2026-06-17,
76923,143,9,12,2018-10-24,2022-10-24
76924,143,2,12,2022-10-24,
76925,144,7,35,2015-11-27,2018-11-27
76926,144,9,35,2018-11-27,2021-11-27
76927,144,4,35,2021-11-27,
76928,145,3,6,2004-05-05,2009-05-05
76929,145,8,6,2009-05-05,2014-05-05
76930,145,23,6,2014-05-05,2019-05-05
76931,145,14,6,2019-05-05,
76932,146,12,5,2023-05-26,
76933,147,17,46,2009-10-25,2014-10-25
76934,147,20,46,2014-10-25,2019-10-25
76935,147,23,46,2019-10-25,
76936,148,5,8,1993-02-23,2001-02-23
76937,148,9,8,2001-02-23,2009-02-23
76938,148,17,8,2009-02-23,2017-02-23
76939,148,21,8,2017-02-23,
76940,149,6,43,2023-11-24,
76941,150,4,8,2008-10-25,2014-10-25
76942,150,2,8,2014-10-25,2020-10-25
76943,150,16,8,2020-10-25,
76944,151,7,44,2007-10-13,2013-10-13
76945,151,15,44,2013-10-13,2019-10-13
76946,151,1,44,2019-10-13,
76947,152,13,18,2018-12-25,2022-12-25
76948,152,2,18,2022-12-25,
76949,153,7,43,2025-02-11,
76950,154,22,1,2014-04-13,2018-04-13
76951,154,6,1,2018-04-13,2022-04-13
76952,154,12,1,2022-04-13,
76953,155,3,16,2021-11-26,2023-11-26
76954,155,2,16,2023-11-26,
76955,156,11,25,2014-02-01,2018-02-01
76956,156,4,25,2018-02-01,2022-02-01
76957,156,12,25,2022-02-01,
76958,157,21,44,2026-05-03,
76959,158,20,43,1995-09-13,2002-09-13
76960,158,18,43,2002-09-13,2009-09-13
76961,158,23,43,2009-09-13,2016-09-13
76962,158,15,43,2016-09-13,
76963,159,5,43,2014-01-23,2018-01-23
76964,159,9,43,2018-01-23,2022-01-23
76965,159,8,43,2022-01-23,
76966,160,19,16,2021-03-23,2023-03-23
76967,160,7,16,2023-03-23,
76968,161,5,33,2001-03-18,2007-03-18
76969,161,19,33,2007-03-18,2013-03-18
76970,161,16,33,2013-03-18,2019-03-18
76971,161,2,33,2019-03-18,
76972,162,5,21,2009-09-08,2014-09-08
76973,162,14,21,2014-09-08,2019-09-08
76974,162,22,21,2019-09-08,
76975,163,9,30,2020-06-17,2023-06-17
76976,163,2,30,2023-06-17,
76977,164,15,17,2026-07-11,
76978,165,16,46,2023-08-19,
76979,166,13,33,2018-10-10,2022-10-10
76980,166,11,33,2022-10-10,
76981,167,13,37,2015-09-14,2018-09-14
76982,167,8,37,2018-09-14,2021-09-14
76983,167,3,37,2021-09-14,
76984,168,6,2,2011-05-28,2016-05-28
76985,168,17,2,2016-05-28,2021-05-28
76986,168,15,2,2021-05-28,
76987,169,5,31,2023-06-13,
76988,170,9,15,2017-09-14,2021-09-14
76989,170,6,15,2021-09-14,
76990,171,1,42,2007-03-21,2013-03-21
76991,171,21,42,2013-03-21,2019-03-21
76992,171,8,42,2019-03-21,
76993,172,23,13,2020-06-12,2023-06-12
76994,172,22,13,2023-06-12,
76995,173,13,17,2021-09-15,2023-09-15
76996,173,1,17,2023-09-15,
76997,174,4,18,2008-09-18,2014-09-18
76998,174,10,18,2014-09-18,2020-09-18
76999,174,8,18,2020-09-18,
77000,175,14,1,1997-12-14,2004-12-14
77001,175,11,1,2004-12-14,2011-12-14
77002,175,16,1,2011-12-14,2018-12-14
77003,175,2,1,2018-12-14,
77004,176,1,45,2017-10-11,2021-10-11
77005,176,4,45,2021-10-11,
77006,177,5,38,2025-07-22,
77007,178,13,43,2014-11-11,2018-11-11
77008,178,19,43,2018-11-11,2022-11-11
77009,178,15,43,2022-11-11,
77010,179,9,5,2003-04-19,2008-04-19
77011,179,18,5,2008-04-19,2013-04-19
77012,179,12,5,2013-04-19,2018-04-19
77013,179,21,5,2018-04-19,
77014,180,22,5,2022-01-18,
77015,181,8,24,2025-12-25,
77016,182,12,34,2026-06-07,
77017,183,17,38,2025-12-02,
77018,184,17,35,2020-09-05,2023-09-05
77019,184,11,35,2023-09-05,
77020,185,20,42,2024-12-12,
77021,186,4,36,2023-09-08,
77022,187,5,14,2025-11-18,
77023,188,8,18,2018-01-18,2022-01-18
77024,188,4,18,2022-01-18,
77025,189,8,14,2024-10-23,
77026,190,13,34,2025-09-16,
77027,191,11,3,2014-01-18,2018-01-18
77028,191,6,3,2018-01-18,2022-01-18
77029,191,9,3,2022-01-18,
77030,192,7,29,1998-01-20,2005-01-20
77031,192,3,29,2005-01-20,2012-01-20
77032,192,4,29,2012-01-20,2019-01-20
77033,192,19,29,2019-01-20,
77034,193,15,19,2011-07-22,2016-07-22
77035,193,2,19,2016-07-22,2021-07-22
77036,193,1,19,2021-07-22,
77037,194,16,42,2004-08-16,2009-08-16
77038,194,23,42,2009-08-16,2014-08-16
77039,194,12,42,2014-08-16,2019-08-16
77040,194,8,42,2019-08-16,
77041,195,2,5,2018-03-05,2022-03-05
77042,195,3,5,2022-03-05,
77043,196,18,5,2022-06-03,
77044,197,4,44,2025-09-07,
77045,198,15,38,2021-10-28,2023-10-28
77046,198,18,38,2023-10-28,
77047,199,6,38,2014-09-11,2018-09-11
77048,199,2,38,2018-09-11,2022-09-11
77049,199,3,38,2022-09-11,
77050,200,5,21,1994-03-04,2002-03-04
77051,200,21,21,2002-03-04,2010-03-04
77052,200,12,21,2010-03-04,2018-03-04
77053,200,1,21,2018-03-04,
77054,201,1,30,2007-10-22,2013-10-22
77055,201,7,30,2013-10-22,2019-10-22
77056,201,22,30,2019-10-22,
77057,202,1,45,1989-06-20,1998-06-20
77058,202,16,45,1998-06-20,2007-06-20
77059,202,5,45,2007-06-20,2016-06-20
77060,202,3,45,2016-06-20,
77061,203,3,16,2014-02-03,2018-02-03
77062,203,1,16,2018-02-03,2022-02-03
77063,203,22,16,2022-02-03,
77064,204,2,36,2016-06-05,2019-06-05
77065,204,16,36,2019-06-05,2022-06-05
77066,204,11,36,2022-06-05,
77067,205,9,6,2024-09-11,
77068,206,3,24,2015-07-10,2018-07-10
77069,206,10,24,2018-07-10,2021-07-10
77070,206,1,24,2021-07-10,
77071,207,10,11,2019-09-28,2022-09-28
77072,207,23,11,2022-09-28,
77073,208,11,37,2005-05-05,2010-05-05
77074,208,3,37,2010-05-05,2015-05-05
77075,208,10,37,2015-05-05,2020-05-05
77076,208,4,37,2020-05-05,
77077,209,4,22,2008-05-24,2014-05-24
77078,209,22,22,2014-05-24,2020-05-24
77079,209,7,22,2020-05-24,
77080,210,5,41,2022-07-12,
77081,211,14,33,2025-03-18,
77082,212,21,32,2024-10-18,
77083,213,2,21,2005-10-20,2010-10-20
77084,213,6,21,2010-10-20,2015-10-20
77085,213,10,21,2015-10-20,2020-10-20
77086,213,4,21,2020-10-20,
77087,214,6,31,2009-12-05,2014-12-05
77088,214,23,31,2014-12-05,2019-12-05
77089,214,9,31,2019-12-05,
77090,215,13,23,2006-07-20,2011-07-20
77091,215,5,23,2011-07-20,2016-07-20
77092,215,11,23,2016-07-20,2021-07-20
77093,215,2,23,2021-07-20,
77094,216,17,30,1997-08-14,2004-08-14
77095,216,12,30,2004-08-14,2011-08-14
77096,216,21,30,2011-08-14,2018-08-14
77097,216,6,30,2018-08-14,
77098,217,23,31,2024-05-10,
77099,218,9,19,2022-10-06,
77100,219,17,33,1999-03-05,2005-03-05
77101,219,1,33,2005-03-05,2011-03-05
77102,219,16,33,2011-03-05,2017-03-05
77103,219,8,33,2017-03-05,
77104,220,6,27,2018-10-28,2022-10-28
77105,220,12,27,2022-10-28,
77106,221,11,10,2022-02-04,
77107,222,9,44,2023-12-17,
77108,223,10,45,2006-09-23,2011-09-23
77109,223,23,45,2011-09-23,2016-09-23
77110,223,20,45,2016-09-23,2021-09-23
77111,223,9,45,2021-09-23,
77112,224,13,22,2018-03-18,2022-03-18
77113,224,6,22,2022-03-18,
77114,225,9,44,2018-09-01,2022-09-01
77115,225,14,44,2022-09-01,
77116,226,11,16,2015-11-17,2018-11-17
77117,226,15,16,2018-11-17,2021-11-17
77118,226,21,16,2021-11-17,
77119,227,14,10,2024-05-03,
77120,228,7,34,2025-02-01,
77121,229,3,15,2009-04-21,2014-04-21
77122,229,11,15,2014-04-21,2019-04-21
77123,229,8,15,2019-04-21,
77124,230,1,8,2004-02-11,2009-02-11
77125,230,4,8,2009-02-11,2014-02-11
77126,230,12,8,2014-02-11,2019-02-11
77127,230,6,8,2019-02-11,
77128,231,17,15,2022-09-21,
77129,232,19,40,2012-01-06,2016-01-06
77130,232,16,40,2016-01-06,2020-01-06
77131,232,13,40,2020-01-06,
77132,233,17,12,2025-08-09,
77133,234,19,6,2015-10-10,2018-10-10
77134,234,20,6,2018-10-10,2021-10-10
77135,234,3,6,2021-10-10,
77136,235,16,47,2019-12-22,2022-12-22
77137,235,12,47,2022-12-22,
77138,236,23,34,2026-04-28,
77139,237,14,47,2013-11-09,2017-11-09
77140,237,10,47,2017-11-09,2021-11-09
77141,237,20,47,2021-11-09,
77142,238,5,30,2020-01-17,2023-01-17
77143,238,9,30,2023-01-17,
77144,239,7,1,2018-06-26,2022-06-26
77145,239,4,1,2022-06-26,
77146,240,20,15,2009-10-11,2014-10-11
77147,240,11,15,2014-10-11,2019-10-11
77148,240,12,15,2019-10-11,
77149,241,7,3,2020-09-22,2023-09-22
77150,241,20,3,2023-09-22,
77151,242,21,42,2023-09-01,
77152,243,23,45,2018-03-25,2022-03-25
77153,243,13,45,2022-03-25,
77154,244,13,21,2017-06-09,2021-06-09
77155,244,9,21,2021-06-09,
77156,245,14,33,2026-05-27,
77157,246,9,5,1998-12-05,2005-12-05
77158,246,2,5,2005-12-05,2012-12-05
77159,246,22,5,2012-12-05,2019-12-05
77160,246,19,5,2019-12-05,
77161,247,17,3,2016-12-05,2019-12-05
77162,247,6,3,2019-12-05,2022-12-05
77163,247,18,3,2022-12-05,
77164,248,18,36,2014-01-12,2018-01-12
77165,248,3,36,2018-01-12,2022-01-12
77166,248,12,36,2022-01-12,
77167,249,18,47,1999-01-14,2005-01-14
77168,249,4,47,2005-01-14,2011-01-14
77169,249,12,47,2011-01-14,2017-01-14
77170,249,20,47,2017-01-14,
77171,250,14,19,2025-10-08,
77172,251,10,18,2020-12-15,2023-12-15
77173,251,14,18,2023-12-15,
77174,252,5,5,2019-09-06,2022-09-06
77175,252,16,5,2022-09-06,
77176,253,18,33,2006-04-06,2011-04-06
77177,253,2,33,2011-04-06,2016-04-06
77178,253,4,33,2016-04-06,2021-04-06
77179,253,3,33,2021-04-06,
77180,254,18,22,2025-10-26,
77181,255,22,6,2005-10-25,2010-10-25
77182,255,16,6,2010-10-25,2015-10-25
77183,255,9,6,2015-10-25,2020-10-25
77184,255,17,6,2020-10-25,
77185,256,22,46,2003-09-20,2008-09-20
77186,256,13,46,2008-09-20,2013-09-20
77187,256,1,46,2013-09-20,2018-09-20
77188,256,20,46,2018-09-20,
77189,257,19,39,2003-03-03,2008-03-03
77190,257,18,39,2008-03-03,2013-03-03
77191,257,16,39,2013-03-03,2018-03-03
77192,257,2,39,2018-03-03,
77193,258,4,4,2019-06-15,2022-06-15
77194,258,18,4,2022-06-15,
77195,259,2,5,2016-06-01,2019-06-01
77196,259,6,5,2019-06-01,2022-06-01
77197,259,18,5,2022-06-01,
77198,260,19,9,2021-09-16,2023-09-16
77199,260,4,9,2023-09-16,
77200,261,18,12,1995-11-10,2002-11-10
77201,261,20,12,2002-11-10,2009-11-10
77202,261,22,12,2009-11-10,2016-11-10
77203,261,16,12,2016-11-10,
77204,262,8,17,2001-02-10,2007-02-10
77205,262,6,17,2007-02-10,2013-02-10
77206,262,15,17,2013-02-10,2019-02-10
77207,262,21,17,2019-02-10,
77208,263,21,33,2005-10-13,2010-10-13
77209,263,13,33,2010-10-13,2015-10-13
77210,263,23,33,2015-10-13,2020-10-13
77211,263,16,33,2020-10-13,
77212,264,7,3,2007-06-22,2013-06-22
77213,264,22,3,2013-06-22,2019-06-22
77214,264,17,3,2019-06-22,
77215,265,4,9,2023-04-04,
77216,266,19,7,2026-05-28,
77217,267,19,18,2010-06-13,2015-06-13
77218,267,10,18,2015-06-13,2020-06-13
77219,267,11,18,2020-06-13,
77220,268,17,31,2026-07-01,
77221,269,22,7,2025-06-07,
77222,270,17,8,2016-01-15,2019-01-15
77223,270,12,8,2019-01-15,2022-01-15
77224,270,18,8,2022-01-15,
77225,271,13,35,2008-10-13,2014-10-13
77226,271,4,35,2014-10-13,2020-10-13
77227,271,5,35,2020-10-13,
77228,272,8,46,2022-06-28,
77229,273,18,19,2010-12-27,2015-12-27
77230,273,17,19,2015-12-27,2020-12-27
77231,273,4,19,2020-12-27,
77232,274,17,44,2019-11-13,2022-11-13
77233,274,3,44,2022-11-13,
77234,275,7,22,2015-06-03,2018-06-03
77235,275,2,22,2018-06-03,2021-06-03
77236,275,10,22,2021-06-03,
77237,276,1,47,2014-08-07,2018-08-07
77238,276,9,47,2018-08-07,2022-08-07
77239,276,4,47,2022-08-07,
77240,277,15,30,2014-06-26,2018-06-26
77241,277,22,30,2018-06-26,2022-06-26
77242,277,21,30,2022-06-26,
77243,278,21,6,2026-04-21,
77244,279,18,5,2017-07-16,2021-07-16
77245,279,15,5,2021-07-16,
77246,280,8,24,2009-09-17,2014-09-17
77247,280,2,24,2014-09-17,2019-09-17
77248,280,7,24,2019-09-17,
77249,281,8,33,2022-01-10,
77250,282,1,24,1995-12-12,2002-12-12
77251,282,17,24,2002-12-12,2009-12-12
77252,282,7,24,2009-12-12,2016-12-12
77253,282,11,24,2016-12-12,
77254,283,7,45,2009-10-10,2014-10-10
77255,283,10,45,2014-10-10,2019-10-10
77256,283,21,45,2019-10-10,
77257,284,23,31,2020-06-17,2023-06-17
77258,284,14,31,2023-06-17,
77259,285,3,2,2009-09-26,2014-09-26
77260,285,17,2,2014-09-26,2019-09-26
77261,285,11,2,2019-09-26,
77262,286,11,16,2025-10-18,
77263,287,17,20,2017-09-04,2021-09-04
77264,287,23,20,2021-09-04,
77265,288,5,45,2024-03-25,
77266,289,10,23,2020-07-27,2023-07-27
77267,289,17,23,2023-07-27,
