"kinerja_id","pegawai_id","periode","nilai","predikat","created_at"
65,17,2025,83.91,Baik,2026-07-08 01:06:50.441
66,17,2026,83.25,Baik,2026-07-08 01:06:50.441
67,18,2026,83.80,Baik,2026-07-08 01:06:50.441
68,19,2022,80.21,Baik,2026-07-08 01:06:50.441
69,19,2023,80.82,Baik,2026-07-08 01:06:50.441
70,19,2024,80.56,Baik,2026-07-08 01:06:50.441
71,19,2025,79.60,Cukup,2026-07-08 01:06:50.441
72,19,2026,80.37,Baik,2026-07-08 01:06:50.441
73,20,2022,82.09,Baik,2026-07-08 01:06:50.441
74,20,2023,81.24,Baik,2026-07-08 01:06:50.441
75,20,2024,80.64,Baik,2026-07-08 01:06:50.441
76,20,2025,79.90,Cukup,2026-07-08 01:06:50.441
77,20,2026,81.20,Baik,2026-07-08 01:06:50.441
78,21,2024,83.20,Baik,2026-07-08 01:06:50.441
79,21,2025,82.09,Baik,2026-07-08 01:06:50.441
80,21,2026,82.41,Baik,2026-07-08 01:06:50.441
81,22,2022,73.15,Cukup,2026-07-08 01:06:50.441
82,22,2023,72.15,Cukup,2026-07-08 01:06:50.441
83,22,2024,71.98,Cukup,2026-07-08 01:06:50.441
84,22,2025,72.01,Cukup,2026-07-08 01:06:50.441
85,22,2026,70.94,Cukup,2026-07-08 01:06:50.441
86,23,2025,81.88,Baik,2026-07-08 01:06:50.441
87,23,2026,82.80,Baik,2026-07-08 01:06:50.441
88,24,2022,83.66,Baik,2026-07-08 01:06:50.441
89,24,2023,81.66,Baik,2026-07-08 01:06:50.441
90,24,2024,79.76,Cukup,2026-07-08 01:06:50.441
91,24,2025,81.16,Baik,2026-07-08 01:06:50.441
92,24,2026,81.78,Baik,2026-07-08 01:06:50.441
93,25,2022,91.43,Sangat Baik,2026-07-08 01:06:50.441
94,25,2023,90.43,Sangat Baik,2026-07-08 01:06:50.441
95,25,2024,89.55,Baik,2026-07-08 01:06:50.441
96,25,2025,91.15,Sangat Baik,2026-07-08 01:06:50.441
97,25,2026,91.55,Sangat Baik,2026-07-08 01:06:50.441
98,26,2022,76.06,Cukup,2026-07-08 01:06:50.441
99,26,2023,75.36,Cukup,2026-07-08 01:06:50.441
100,26,2024,76.23,Cukup,2026-07-08 01:06:50.441
101,26,2025,74.24,Cukup,2026-07-08 01:06:50.441
102,26,2026,73.60,Cukup,2026-07-08 01:06:50.441
103,27,2025,83.47,Baik,2026-07-08 01:06:50.441
104,27,2026,82.50,Baik,2026-07-08 01:06:50.441
105,28,2022,73.68,Cukup,2026-07-08 01:06:50.441
106,28,2023,74.78,Cukup,2026-07-08 01:06:50.441
107,28,2024,73.50,Cukup,2026-07-08 01:06:50.441
108,28,2025,74.13,Cukup,2026-07-08 01:06:50.441
109,28,2026,75.18,Cukup,2026-07-08 01:06:50.441
110,29,2022,81.81,Baik,2026-07-08 01:06:50.441
111,29,2023,81.82,Baik,2026-07-08 01:06:50.441
112,29,2024,79.88,Cukup,2026-07-08 01:06:50.441
113,29,2025,79.28,Cukup,2026-07-08 01:06:50.441
114,29,2026,78.04,Cukup,2026-07-08 01:06:50.441
115,30,2026,80.48,Baik,2026-07-08 01:06:50.441
116,31,2022,80.68,Baik,2026-07-08 01:06:50.441
117,31,2023,79.04,Cukup,2026-07-08 01:06:50.441
118,31,2024,79.45,Cukup,2026-07-08 01:06:50.441
119,31,2025,79.40,Cukup,2026-07-08 01:06:50.441
120,31,2026,79.24,Cukup,2026-07-08 01:06:50.441
121,32,2022,90.14,Sangat Baik,2026-07-08 01:06:50.441
122,32,2023,91.73,Sangat Baik,2026-07-08 01:06:50.441
123,32,2024,90.70,Sangat Baik,2026-07-08 01:06:50.441
124,32,2025,89.95,Baik,2026-07-08 01:06:50.441
125,32,2026,91.01,Sangat Baik,2026-07-08 01:06:50.441
126,33,2022,75.69,Cukup,2026-07-08 01:06:50.441
127,33,2023,75.61,Cukup,2026-07-08 01:06:50.441
128,33,2024,75.87,Cukup,2026-07-08 01:06:50.441
129,33,2025,75.36,Cukup,2026-07-08 01:06:50.441
130,33,2026,74.91,Cukup,2026-07-08 01:06:50.441
131,34,2022,81.58,Baik,2026-07-08 01:06:50.441
132,34,2023,79.94,Cukup,2026-07-08 01:06:50.441
133,34,2024,77.95,Cukup,2026-07-08 01:06:50.441
134,34,2025,77.12,Cukup,2026-07-08 01:06:50.441
135,34,2026,76.95,Cukup,2026-07-08 01:06:50.441
136,35,2023,83.79,Baik,2026-07-08 01:06:50.441
137,35,2024,85.42,Baik,2026-07-08 01:06:50.441
138,35,2025,87.05,Baik,2026-07-08 01:06:50.441
139,35,2026,85.55,Baik,2026-07-08 01:06:50.441
140,36,2022,76.91,Cukup,2026-07-08 01:06:50.441
141,36,2023,78.08,Cukup,2026-07-08 01:06:50.441
142,36,2024,77.40,Cukup,2026-07-08 01:06:50.441
143,36,2025,75.72,Cukup,2026-07-08 01:06:50.441
144,36,2026,77.01,Cukup,2026-07-08 01:06:50.441
145,37,2022,81.22,Baik,2026-07-08 01:06:50.441
146,37,2023,81.80,Baik,2026-07-08 01:06:50.441
147,37,2024,82.77,Baik,2026-07-08 01:06:50.441
148,38,2022,90.82,Sangat Baik,2026-07-08 01:06:50.441
149,38,2023,90.51,Sangat Baik,2026-07-08 01:06:50.441
150,38,2024,89.03,Baik,2026-07-08 01:06:50.441
151,38,2025,89.96,Baik,2026-07-08 01:06:50.441
152,38,2026,88.78,Baik,2026-07-08 01:06:50.441
153,39,2022,89.61,Baik,2026-07-08 01:06:50.441
154,39,2023,87.66,Baik,2026-07-08 01:06:50.441
155,39,2024,88.64,Baik,2026-07-08 01:06:50.441
156,39,2025,89.26,Baik,2026-07-08 01:06:50.441
157,39,2026,90.61,Sangat Baik,2026-07-08 01:06:50.441
158,40,2024,83.33,Baik,2026-07-08 01:06:50.441
159,40,2025,82.54,Baik,2026-07-08 01:06:50.441
160,40,2026,82.15,Baik,2026-07-08 01:06:50.441
161,41,2022,90.64,Sangat Baik,2026-07-08 01:06:50.441
162,41,2023,91.57,Sangat Baik,2026-07-08 01:06:50.441
163,41,2024,89.74,Baik,2026-07-08 01:06:50.441
164,41,2025,90.85,Sangat Baik,2026-07-08 01:06:50.441
165,41,2026,91.49,Sangat Baik,2026-07-08 01:06:50.441
166,42,2022,74.66,Cukup,2026-07-08 01:06:50.441
167,42,2023,74.52,Cukup,2026-07-08 01:06:50.441
168,42,2024,75.02,Cukup,2026-07-08 01:06:50.441
169,42,2025,73.45,Cukup,2026-07-08 01:06:50.441
170,42,2026,72.06,Cukup,2026-07-08 01:06:50.441
171,43,2025,89.80,Baik,2026-07-08 01:06:50.441
172,43,2026,90.03,Sangat Baik,2026-07-08 01:06:50.441
173,44,2022,81.81,Baik,2026-07-08 01:06:50.441
174,44,2023,83.07,Baik,2026-07-08 01:06:50.441
175,44,2024,83.86,Baik,2026-07-08 01:06:50.441
176,44,2025,82.42,Baik,2026-07-08 01:06:50.441
177,44,2026,81.80,Baik,2026-07-08 01:06:50.441
178,45,2022,81.71,Baik,2026-07-08 01:06:50.441
179,45,2023,82.82,Baik,2026-07-08 01:06:50.441
180,46,2022,90.17,Sangat Baik,2026-07-08 01:06:50.441
181,46,2023,88.99,Baik,2026-07-08 01:06:50.441
182,46,2024,88.20,Baik,2026-07-08 01:06:50.441
183,46,2025,86.21,Baik,2026-07-08 01:06:50.441
184,46,2026,84.56,Baik,2026-07-08 01:06:50.441
185,47,2022,80.82,Baik,2026-07-08 01:06:50.441
186,47,2023,82.01,Baik,2026-07-08 01:06:50.441
187,47,2024,82.57,Baik,2026-07-08 01:06:50.441
188,47,2025,81.11,Baik,2026-07-08 01:06:50.441
189,47,2026,80.22,Baik,2026-07-08 01:06:50.441
190,48,2022,90.38,Sangat Baik,2026-07-08 01:06:50.441
191,48,2023,92.20,Sangat Baik,2026-07-08 01:06:50.441
192,48,2024,92.92,Sangat Baik,2026-07-08 01:06:50.441
193,48,2025,92.22,Sangat Baik,2026-07-08 01:06:50.441
194,48,2026,92.43,Sangat Baik,2026-07-08 01:06:50.441
195,49,2024,75.85,Cukup,2026-07-08 01:06:50.441
196,49,2025,75.83,Cukup,2026-07-08 01:06:50.441
197,49,2026,74.38,Cukup,2026-07-08 01:06:50.441
198,50,2024,89.74,Baik,2026-07-08 01:06:50.441
199,50,2025,88.92,Baik,2026-07-08 01:06:50.441
200,50,2026,88.51,Baik,2026-07-08 01:06:50.441
201,51,2026,82.14,Baik,2026-07-08 01:06:50.441
202,52,2022,74.18,Cukup,2026-07-08 01:06:50.441
203,52,2023,74.86,Cukup,2026-07-08 01:06:50.441
204,52,2024,73.22,Cukup,2026-07-08 01:06:50.441
205,52,2025,74.06,Cukup,2026-07-08 01:06:50.441
206,52,2026,75.46,Cukup,2026-07-08 01:06:50.441
207,53,2022,88.82,Baik,2026-07-08 01:06:50.441
208,53,2023,88.68,Baik,2026-07-08 01:06:50.441
209,53,2024,89.04,Baik,2026-07-08 01:06:50.441
210,53,2025,88.08,Baik,2026-07-08 01:06:50.441
211,53,2026,89.61,Baik,2026-07-08 01:06:50.441
212,54,2022,80.41,Baik,2026-07-08 01:06:50.441
213,54,2023,80.46,Baik,2026-07-08 01:06:50.441
214,54,2024,79.66,Cukup,2026-07-08 01:06:50.441
215,54,2025,80.39,Baik,2026-07-08 01:06:50.441
216,54,2026,82.28,Baik,2026-07-08 01:06:50.441
217,55,2022,80.83,Baik,2026-07-08 01:06:50.441
218,55,2023,82.70,Baik,2026-07-08 01:06:50.441
219,56,2026,81.49,Baik,2026-07-08 01:06:50.441
220,57,2022,83.77,Baik,2026-07-08 01:06:50.441
221,57,2023,82.38,Baik,2026-07-08 01:06:50.441
222,57,2024,82.06,Baik,2026-07-08 01:06:50.441
223,57,2025,80.69,Baik,2026-07-08 01:06:50.441
224,57,2026,81.92,Baik,2026-07-08 01:06:50.441
225,58,2024,74.65,Cukup,2026-07-08 01:06:50.441
226,58,2025,74.51,Cukup,2026-07-08 01:06:50.441
227,58,2026,75.38,Cukup,2026-07-08 01:06:50.441
228,59,2022,75.67,Cukup,2026-07-08 01:06:50.441
229,59,2023,75.21,Cukup,2026-07-08 01:06:50.441
230,59,2024,74.75,Cukup,2026-07-08 01:06:50.441
231,59,2025,76.28,Cukup,2026-07-08 01:06:50.441
232,59,2026,77.04,Cukup,2026-07-08 01:06:50.441
233,60,2022,82.29,Baik,2026-07-08 01:06:50.441
234,60,2023,82.50,Baik,2026-07-08 01:06:50.441
235,60,2024,82.99,Baik,2026-07-08 01:06:50.441
236,60,2025,81.90,Baik,2026-07-08 01:06:50.441
237,60,2026,81.44,Baik,2026-07-08 01:06:50.441
238,61,2022,81.42,Baik,2026-07-08 01:06:50.441
239,61,2023,79.78,Cukup,2026-07-08 01:06:50.441
240,61,2024,80.40,Baik,2026-07-08 01:06:50.441
241,61,2025,80.88,Baik,2026-07-08 01:06:50.441
242,61,2026,80.16,Baik,2026-07-08 01:06:50.441
243,62,2022,83.85,Baik,2026-07-08 01:06:50.441
244,62,2023,84.47,Baik,2026-07-08 01:06:50.441
245,62,2024,84.25,Baik,2026-07-08 01:06:50.441
246,62,2025,85.65,Baik,2026-07-08 01:06:50.441
247,62,2026,86.18,Baik,2026-07-08 01:06:50.441
248,63,2022,83.37,Baik,2026-07-08 01:06:50.441
249,63,2023,81.65,Baik,2026-07-08 01:06:50.441
250,63,2024,79.79,Cukup,2026-07-08 01:06:50.441
251,63,2025,79.40,Cukup,2026-07-08 01:06:50.441
252,63,2026,80.63,Baik,2026-07-08 01:06:50.441
253,64,2022,82.67,Baik,2026-07-08 01:06:50.441
254,64,2023,81.46,Baik,2026-07-08 01:06:50.441
255,64,2024,80.10,Baik,2026-07-08 01:06:50.441
256,64,2025,81.54,Baik,2026-07-08 01:06:50.441
257,64,2026,80.24,Baik,2026-07-08 01:06:50.441
258,65,2022,81.13,Baik,2026-07-08 01:06:50.441
259,65,2023,81.69,Baik,2026-07-08 01:06:50.441
260,65,2024,80.24,Baik,2026-07-08 01:06:50.441
261,65,2025,82.13,Baik,2026-07-08 01:06:50.441
262,65,2026,82.54,Baik,2026-07-08 01:06:50.441
263,66,2022,81.40,Baik,2026-07-08 01:06:50.441
264,66,2023,83.23,Baik,2026-07-08 01:06:50.441
265,66,2024,83.60,Baik,2026-07-08 01:06:50.441
266,66,2025,84.35,Baik,2026-07-08 01:06:50.441
267,66,2026,82.41,Baik,2026-07-08 01:06:50.441
268,67,2024,80.74,Baik,2026-07-08 01:06:50.441
269,67,2025,80.94,Baik,2026-07-08 01:06:50.441
270,67,2026,81.23,Baik,2026-07-08 01:06:50.441
271,68,2025,89.69,Baik,2026-07-08 01:06:50.441
272,68,2026,90.56,Sangat Baik,2026-07-08 01:06:50.441
273,69,2024,74.17,Cukup,2026-07-08 01:06:50.441
274,70,2022,81.82,Baik,2026-07-08 01:06:50.441
275,70,2023,82.18,Baik,2026-07-08 01:06:50.441
276,70,2024,81.47,Baik,2026-07-08 01:06:50.441
277,70,2025,82.99,Baik,2026-07-08 01:06:50.441
278,70,2026,84.22,Baik,2026-07-08 01:06:50.441
279,71,2022,73.75,Cukup,2026-07-08 01:06:50.441
280,71,2023,72.90,Cukup,2026-07-08 01:06:50.441
281,71,2024,74.26,Cukup,2026-07-08 01:06:50.441
282,71,2025,72.49,Cukup,2026-07-08 01:06:50.441
283,71,2026,73.20,Cukup,2026-07-08 01:06:50.441
284,72,2022,80.73,Baik,2026-07-08 01:06:50.441
285,72,2023,80.38,Baik,2026-07-08 01:06:50.441
286,73,2025,83.10,Baik,2026-07-08 01:06:50.441
287,73,2026,83.93,Baik,2026-07-08 01:06:50.441
288,74,2022,82.64,Baik,2026-07-08 01:06:50.441
289,74,2023,82.18,Baik,2026-07-08 01:06:50.441
290,74,2024,83.28,Baik,2026-07-08 01:06:50.441
291,74,2025,83.94,Baik,2026-07-08 01:06:50.441
292,74,2026,83.01,Baik,2026-07-08 01:06:50.441
293,75,2022,88.15,Baik,2026-07-08 01:06:50.441
294,75,2023,89.53,Baik,2026-07-08 01:06:50.441
295,75,2024,90.99,Sangat Baik,2026-07-08 01:06:50.441
296,75,2025,91.51,Sangat Baik,2026-07-08 01:06:50.441
297,75,2026,90.14,Sangat Baik,2026-07-08 01:06:50.441
298,76,2024,83.91,Baik,2026-07-08 01:06:50.441
299,76,2025,82.96,Baik,2026-07-08 01:06:50.441
300,76,2026,81.18,Baik,2026-07-08 01:06:50.441
301,77,2022,75.34,Cukup,2026-07-08 01:06:50.441
302,77,2023,76.98,Cukup,2026-07-08 01:06:50.441
303,77,2024,78.00,Cukup,2026-07-08 01:06:50.441
304,77,2025,78.13,Cukup,2026-07-08 01:06:50.441
305,77,2026,78.96,Cukup,2026-07-08 01:06:50.441
306,78,2022,89.36,Baik,2026-07-08 01:06:50.441
307,78,2023,90.73,Sangat Baik,2026-07-08 01:06:50.441
308,78,2024,89.30,Baik,2026-07-08 01:06:50.441
309,78,2025,87.97,Baik,2026-07-08 01:06:50.441
310,78,2026,88.41,Baik,2026-07-08 01:06:50.441
311,79,2026,81.95,Baik,2026-07-08 01:06:50.441
312,80,2022,90.95,Sangat Baik,2026-07-08 01:06:50.441
313,80,2023,90.71,Sangat Baik,2026-07-08 01:06:50.441
314,80,2024,89.80,Baik,2026-07-08 01:06:50.441
315,80,2025,87.99,Baik,2026-07-08 01:06:50.441
316,80,2026,89.62,Baik,2026-07-08 01:06:50.441
317,81,2022,81.51,Baik,2026-07-08 01:06:50.441
318,81,2023,80.35,Baik,2026-07-08 01:06:50.441
319,81,2024,78.51,Cukup,2026-07-08 01:06:50.441
320,81,2025,79.42,Cukup,2026-07-08 01:06:50.441
321,81,2026,79.44,Cukup,2026-07-08 01:06:50.441
322,82,2022,89.09,Baik,2026-07-08 01:06:50.441
323,82,2023,89.90,Baik,2026-07-08 01:06:50.441
324,82,2024,88.41,Baik,2026-07-08 01:06:50.441
325,82,2025,89.10,Baik,2026-07-08 01:06:50.441
326,82,2026,88.72,Baik,2026-07-08 01:06:50.441
327,83,2026,80.73,Baik,2026-07-08 01:06:50.441
328,84,2022,83.79,Baik,2026-07-08 01:06:50.441
329,84,2023,83.59,Baik,2026-07-08 01:06:50.441
330,84,2024,83.66,Baik,2026-07-08 01:06:50.441
331,84,2025,84.58,Baik,2026-07-08 01:06:50.441
332,85,2022,83.23,Baik,2026-07-08 01:06:50.441
333,85,2023,81.54,Baik,2026-07-08 01:06:50.441
334,85,2024,81.90,Baik,2026-07-08 01:06:50.441
335,85,2025,79.93,Cukup,2026-07-08 01:06:50.441
336,85,2026,79.40,Cukup,2026-07-08 01:06:50.441
337,86,2022,82.04,Baik,2026-07-08 01:06:50.441
338,86,2023,80.56,Baik,2026-07-08 01:06:50.441
339,86,2024,82.43,Baik,2026-07-08 01:06:50.441
340,86,2025,82.02,Baik,2026-07-08 01:06:50.441
341,86,2026,83.27,Baik,2026-07-08 01:06:50.441
342,87,2022,83.29,Baik,2026-07-08 01:06:50.441
343,87,2023,82.92,Baik,2026-07-08 01:06:50.441
344,87,2024,81.54,Baik,2026-07-08 01:06:50.441
345,87,2025,82.34,Baik,2026-07-08 01:06:50.441
346,87,2026,81.31,Baik,2026-07-08 01:06:50.441
347,88,2022,88.87,Baik,2026-07-08 01:06:50.441
348,88,2023,89.75,Baik,2026-07-08 01:06:50.441
349,88,2024,88.13,Baik,2026-07-08 01:06:50.441
350,88,2025,86.15,Baik,2026-07-08 01:06:50.441
351,88,2026,87.99,Baik,2026-07-08 01:06:50.441
352,89,2022,83.13,Baik,2026-07-08 01:06:50.441
353,89,2023,83.75,Baik,2026-07-08 01:06:50.441
354,89,2024,82.49,Baik,2026-07-08 01:06:50.441
355,90,2025,75.16,Cukup,2026-07-08 01:06:50.441
356,90,2026,73.43,Cukup,2026-07-08 01:06:50.441
357,91,2022,83.75,Baik,2026-07-08 01:06:50.441
358,91,2023,85.53,Baik,2026-07-08 01:06:50.441
359,91,2024,86.30,Baik,2026-07-08 01:06:50.441
360,91,2025,85.57,Baik,2026-07-08 01:06:50.441
361,92,2022,80.80,Baik,2026-07-08 01:06:50.441
362,92,2023,79.88,Cukup,2026-07-08 01:06:50.441
363,92,2024,78.44,Cukup,2026-07-08 01:06:50.441
364,92,2025,78.25,Cukup,2026-07-08 01:06:50.441
365,92,2026,78.14,Cukup,2026-07-08 01:06:50.441
366,93,2022,89.56,Baik,2026-07-08 01:06:50.441
367,93,2023,89.44,Baik,2026-07-08 01:06:50.441
368,93,2024,89.61,Baik,2026-07-08 01:06:50.441
369,93,2025,88.81,Baik,2026-07-08 01:06:50.441
370,93,2026,90.10,Sangat Baik,2026-07-08 01:06:50.441
371,94,2022,73.24,Cukup,2026-07-08 01:06:50.441
372,94,2023,73.18,Cukup,2026-07-08 01:06:50.441
373,94,2024,72.69,Cukup,2026-07-08 01:06:50.441
374,94,2025,73.40,Cukup,2026-07-08 01:06:50.441
375,95,2022,81.88,Baik,2026-07-08 01:06:50.441
376,95,2023,83.73,Baik,2026-07-08 01:06:50.441
377,95,2024,84.09,Baik,2026-07-08 01:06:50.441
378,95,2025,85.24,Baik,2026-07-08 01:06:50.441
379,95,2026,86.26,Baik,2026-07-08 01:06:50.441
380,96,2022,82.92,Baik,2026-07-08 01:06:50.441
381,96,2023,81.79,Baik,2026-07-08 01:06:50.441
382,96,2024,80.94,Baik,2026-07-08 01:06:50.441
383,96,2025,81.70,Baik,2026-07-08 01:06:50.441
384,96,2026,83.50,Baik,2026-07-08 01:06:50.441
385,97,2022,83.67,Baik,2026-07-08 01:06:50.441
386,97,2023,82.29,Baik,2026-07-08 01:06:50.441
387,97,2024,84.00,Baik,2026-07-08 01:06:50.441
388,97,2025,83.11,Baik,2026-07-08 01:06:50.441
389,97,2026,85.00,Baik,2026-07-08 01:06:50.441
390,98,2022,90.34,Sangat Baik,2026-07-08 01:06:50.441
391,98,2023,91.42,Sangat Baik,2026-07-08 01:06:50.441
392,98,2024,92.52,Sangat Baik,2026-07-08 01:06:50.441
393,98,2025,91.81,Sangat Baik,2026-07-08 01:06:50.441
394,98,2026,90.53,Sangat Baik,2026-07-08 01:06:50.441
395,99,2022,81.27,Baik,2026-07-08 01:06:50.441
396,99,2023,79.84,Cukup,2026-07-08 01:06:50.441
397,99,2024,81.11,Baik,2026-07-08 01:06:50.441
398,99,2025,82.09,Baik,2026-07-08 01:06:50.441
399,99,2026,81.62,Baik,2026-07-08 01:06:50.441
400,100,2022,80.29,Baik,2026-07-08 01:06:50.441
401,100,2023,82.19,Baik,2026-07-08 01:06:50.441
402,100,2024,82.13,Baik,2026-07-08 01:06:50.441
403,100,2025,80.95,Baik,2026-07-08 01:06:50.441
404,100,2026,80.04,Baik,2026-07-08 01:06:50.441
405,101,2022,90.40,Sangat Baik,2026-07-08 01:06:50.441
406,101,2023,91.22,Sangat Baik,2026-07-08 01:06:50.441
407,101,2024,89.26,Baik,2026-07-08 01:06:50.441
408,101,2025,90.19,Sangat Baik,2026-07-08 01:06:50.441
409,101,2026,91.34,Sangat Baik,2026-07-08 01:06:50.441
410,102,2022,83.92,Baik,2026-07-08 01:06:50.441
411,102,2023,83.89,Baik,2026-07-08 01:06:50.441
412,102,2024,83.44,Baik,2026-07-08 01:06:50.441
413,102,2025,83.97,Baik,2026-07-08 01:06:50.441
414,102,2026,82.27,Baik,2026-07-08 01:06:50.441
415,103,2022,80.01,Baik,2026-07-08 01:06:50.441
416,103,2023,81.07,Baik,2026-07-08 01:06:50.441
417,103,2024,82.01,Baik,2026-07-08 01:06:50.441
418,103,2025,82.89,Baik,2026-07-08 01:06:50.441
419,103,2026,84.44,Baik,2026-07-08 01:06:50.441
420,104,2022,80.13,Baik,2026-07-08 01:06:50.441
421,104,2023,80.35,Baik,2026-07-08 01:06:50.441
422,104,2024,80.69,Baik,2026-07-08 01:06:50.441
423,104,2025,79.03,Cukup,2026-07-08 01:06:50.441
424,104,2026,78.23,Cukup,2026-07-08 01:06:50.441
425,105,2025,89.34,Baik,2026-07-08 01:06:50.441
426,105,2026,90.22,Sangat Baik,2026-07-08 01:06:50.441
427,106,2022,83.73,Baik,2026-07-08 01:06:50.441
428,106,2023,85.48,Baik,2026-07-08 01:06:50.441
429,106,2024,85.18,Baik,2026-07-08 01:06:50.441
430,106,2025,85.82,Baik,2026-07-08 01:06:50.441
431,106,2026,86.42,Baik,2026-07-08 01:06:50.441
432,107,2022,82.94,Baik,2026-07-08 01:06:50.441
433,107,2023,82.52,Baik,2026-07-08 01:06:50.441
434,107,2024,82.23,Baik,2026-07-08 01:06:50.441
435,107,2025,81.22,Baik,2026-07-08 01:06:50.441
436,108,2022,81.50,Baik,2026-07-08 01:06:50.441
437,108,2023,80.79,Baik,2026-07-08 01:06:50.441
438,108,2024,82.36,Baik,2026-07-08 01:06:50.441
439,108,2025,83.19,Baik,2026-07-08 01:06:50.441
440,108,2026,83.05,Baik,2026-07-08 01:06:50.441
441,109,2022,80.85,Baik,2026-07-08 01:06:50.441
442,109,2023,82.58,Baik,2026-07-08 01:06:50.441
443,109,2024,82.26,Baik,2026-07-08 01:06:50.441
444,109,2025,82.15,Baik,2026-07-08 01:06:50.441
445,109,2026,81.18,Baik,2026-07-08 01:06:50.441
446,110,2023,80.72,Baik,2026-07-08 01:06:50.441
447,110,2024,82.69,Baik,2026-07-08 01:06:50.441
448,110,2025,82.45,Baik,2026-07-08 01:06:50.441
449,110,2026,82.28,Baik,2026-07-08 01:06:50.441
450,111,2022,74.36,Cukup,2026-07-08 01:06:50.441
451,111,2023,73.33,Cukup,2026-07-08 01:06:50.441
452,111,2024,72.92,Cukup,2026-07-08 01:06:50.441
453,111,2025,73.24,Cukup,2026-07-08 01:06:50.441
454,111,2026,72.81,Cukup,2026-07-08 01:06:50.441
