"riwayat_pangkat_id","pegawai_id","pangkat_id","tanggal_mulai","tanggal_selesai"
83,42,1,2015-10-26,2020-10-26
84,42,2,2020-10-26,
85,43,2,2025-10-15,
86,44,2,2022-05-22,
87,45,7,2012-02-23,2016-02-23
88,45,8,2016-02-23,2020-02-23
89,45,9,2020-02-23,
90,46,1,2013-12-10,
91,47,3,2000-02-06,2006-02-06
92,47,4,2006-02-06,2012-02-06
93,47,5,2012-02-06,2018-02-06
94,47,6,2018-02-06,
95,48,6,2014-04-10,2018-04-10
96,48,7,2018-04-10,2022-04-10
97,48,8,2022-04-10,
98,49,2,2024-10-05,
99,50,8,2024-10-06,
100,51,8,2026-05-26,
101,52,1,1996-10-01,
102,53,2,2000-07-21,2006-07-21
103,53,3,2006-07-21,2012-07-21
104,53,4,2012-07-21,2018-07-21
105,53,5,2018-07-21,
106,54,7,2019-03-18,2022-03-18
107,54,8,2022-03-18,
108,55,9,2020-01-07,2023-01-07
109,55,10,2023-01-07,
110,56,1,2026-01-28,
111,57,1,2003-04-28,2014-04-28
112,57,2,2014-04-28,
113,58,8,2024-05-27,
114,59,4,2012-07-19,2016-07-19
115,59,5,2016-07-19,2020-07-19
116,59,6,2020-07-19,
117,60,1,2000-08-24,
118,61,6,2013-10-22,2017-10-22
119,61,7,2017-10-22,2021-10-22
120,61,8,2021-10-22,
121,62,7,2019-08-05,2022-08-05
122,62,8,2022-08-05,
123,63,6,2014-11-13,2018-11-13
124,63,7,2018-11-13,2022-11-13
125,63,8,2022-11-13,
126,64,1,2020-10-20,2023-10-20
127,64,2,2023-10-20,
128,65,4,2015-10-20,2018-10-20
129,65,5,2018-10-20,2021-10-20
130,65,6,2021-10-20,
131,66,1,2017-05-08,
132,67,5,2024-04-07,
133,68,1,2025-11-07,
134,69,9,2024-04-24,
135,70,9,2022-10-22,
136,71,1,2009-04-10,2017-04-10
137,71,2,2017-04-10,
138,72,5,1998-08-25,2005-08-25
139,72,6,2005-08-25,2012-08-25
140,72,7,2012-08-25,2019-08-25
141,72,8,2019-08-25,
142,73,2,2025-09-27,
143,74,8,2019-07-14,2022-07-14
144,74,9,2022-07-14,
145,75,1,2012-07-05,2019-07-05
146,75,2,2019-07-05,
147,76,7,2024-11-17,
148,77,2,2022-08-13,
149,78,6,2015-05-22,2018-05-22
150,78,7,2018-05-22,2021-05-22
151,78,8,2021-05-22,
152,79,6,2026-07-06,
153,80,4,2007-01-02,2013-01-02
154,80,5,2013-01-02,2019-01-02
155,80,6,2019-01-02,
156,81,4,2012-12-20,2016-12-20
157,81,5,2016-12-20,2020-12-20
158,81,6,2020-12-20,
159,82,7,2021-10-08,2023-10-08
160,82,8,2023-10-08,
161,83,5,2026-04-26,
162,84,3,1994-09-09,2002-09-09
163,84,4,2002-09-09,2010-09-09
164,84,5,2010-09-09,2018-09-09
165,84,6,2018-09-09,
166,85,5,2009-01-17,2014-01-17
167,85,6,2014-01-17,2019-01-17
168,85,7,2019-01-17,
169,86,1,2017-08-01,
170,87,1,2011-02-19,2018-02-19
171,87,2,2018-02-19,
172,88,1,1996-08-15,
173,89,1,1989-02-17,
174,90,10,2025-12-21,
175,91,4,2005-12-23,2010-12-23
176,91,5,2010-12-23,2015-12-23
177,91,6,2015-12-23,2020-12-23
178,91,7,2020-12-23,
179,92,7,2012-09-10,2016-09-10
180,92,8,2016-09-10,2020-09-10
181,92,9,2020-09-10,
182,93,6,2019-01-12,2022-01-12
183,93,7,2022-01-12,
184,94,1,1989-10-11,2007-10-11
185,94,2,2007-10-11,
186,95,4,2015-06-25,2018-06-25
187,95,5,2018-06-25,2021-06-25
188,95,6,2021-06-25,
189,96,1,2019-05-15,
190,97,6,2022-04-01,
191,98,1,2020-08-24,2023-08-24
192,98,2,2023-08-24,
193,99,5,2010-01-09,2015-01-09
194,99,6,2015-01-09,2020-01-09
195,99,7,2020-01-09,
196,100,8,2019-06-09,2022-06-09
197,100,9,2022-06-09,
198,101,1,2005-08-28,
199,102,2,1996-03-24,2003-03-24
200,102,3,2003-03-24,2010-03-24
201,102,4,2010-03-24,2017-03-24
202,102,5,2017-03-24,
203,103,6,2007-12-22,2013-12-22
204,103,7,2013-12-22,2019-12-22
205,103,8,2019-12-22,
206,104,6,2013-06-20,2017-06-20
207,104,7,2017-06-20,2021-06-20
208,104,8,2021-06-20,
209,105,2,2025-04-12,
210,106,5,2006-10-24,2011-10-24
211,106,6,2011-10-24,2016-10-24
212,106,7,2016-10-24,2021-10-24
213,106,8,2021-10-24,
214,107,5,2004-06-09,2009-06-09
215,107,6,2009-06-09,2014-06-09
216,107,7,2014-06-09,2019-06-09
217,107,8,2019-06-09,
218,108,7,2019-03-26,2022-03-26
219,108,8,2022-03-26,
220,109,1,2014-09-16,2020-09-16
221,109,2,2020-09-16,
222,110,8,2023-07-03,
223,111,1,2011-03-05,2018-03-05
224,111,2,2018-03-05,
225,112,6,2012-10-28,2016-10-28
226,112,7,2016-10-28,2020-10-28
227,112,8,2020-10-28,
228,113,7,2016-07-11,2019-07-11
229,113,8,2019-07-11,2022-07-11
230,113,9,2022-07-11,
231,114,1,2007-05-28,2016-05-28
232,114,2,2016-05-28,
233,115,1,2018-05-10,
234,116,7,2023-02-02,
235,117,4,2015-08-22,2018-08-22
236,117,5,2018-08-22,2021-08-22
237,117,6,2021-08-22,
238,118,1,2020-06-15,
239,119,2,2022-11-13,
240,120,2,2025-09-19,
241,121,2,2026-04-09,
242,122,6,2020-10-20,2023-10-20
243,122,7,2023-10-20,
244,123,1,2020-07-04,2023-07-04
245,123,2,2023-07-04,
246,124,1,2020-12-06,
247,125,6,2023-05-14,
248,126,1,2017-04-09,2021-04-09
249,126,2,2021-04-09,
250,127,4,1996-08-20,2003-08-20
251,127,5,2003-08-20,2010-08-20
252,127,6,2010-08-20,2017-08-20
253,127,7,2017-08-20,
254,128,10,2026-05-25,
255,129,1,2025-03-20,
256,130,2,1997-05-23,2004-05-23
257,130,3,2004-05-23,2011-05-23
258,130,4,2011-05-23,2018-05-23
259,130,5,2018-05-23,
260,131,7,2020-09-24,2023-09-24
261,131,8,2023-09-24,
262,132,5,2002-02-02,2008-02-02
263,132,6,2008-02-02,2014-02-02
264,132,7,2014-02-02,2020-02-02
265,132,8,2020-02-02,
266,133,2,1996-08-23,2003-08-23
267,133,3,2003-08-23,2010-08-23
268,133,4,2010-08-23,2017-08-23
269,133,5,2017-08-23,
270,134,6,2020-03-20,2023-03-20
271,134,7,2023-03-20,
272,135,1,2014-09-02,
273,136,1,2005-08-16,2015-08-16
274,136,2,2015-08-16,
275,137,4,2003-11-28,2008-11-28
276,137,5,2008-11-28,2013-11-28
277,137,6,2013-11-28,2018-11-28
278,137,7,2018-11-28,
279,138,1,1999-11-07,2012-11-07
280,138,2,2012-11-07,
281,139,1,2026-01-14,
282,140,8,2026-07-24,
283,141,1,2022-11-03,
284,142,7,2026-06-17,
285,143,6,2018-10-24,2022-10-24
286,143,7,2022-10-24,
287,144,7,2015-11-27,2018-11-27
288,144,8,2018-11-27,2021-11-27
289,144,9,2021-11-27,
290,145,4,2004-05-05,2009-05-05
291,145,5,2009-05-05,2014-05-05
292,145,6,2014-05-05,2019-05-05
293,145,7,2019-05-05,
294,146,9,2023-05-26,
295,147,3,2009-10-25,2014-10-25
296,147,4,2014-10-25,2019-10-25
297,147,5,2019-10-25,
298,148,2,1993-02-23,2001-02-23
299,148,3,2001-02-23,2009-02-23
300,148,4,2009-02-23,2017-02-23
301,148,5,2017-02-23,
302,149,1,2023-11-24,
303,150,1,2008-10-25,2017-10-25
304,150,2,2017-10-25,
305,151,6,2007-10-13,2013-10-13
306,151,7,2013-10-13,2019-10-13
307,151,8,2019-10-13,
308,152,8,2018-12-25,2022-12-25
309,152,9,2022-12-25,
310,153,1,2025-02-11,
311,154,3,2014-04-13,2018-04-13
312,154,4,2018-04-13,2022-04-13
313,154,5,2022-04-13,
314,155,6,2021-11-26,2023-11-26
315,155,7,2023-11-26,
316,156,3,2014-02-01,2018-02-01
317,156,4,2018-02-01,2022-02-01
318,156,5,2022-02-01,
319,157,2,2026-05-03,
320,158,1,1995-09-13,2010-09-13
321,158,2,2010-09-13,
322,159,6,2014-01-23,2018-01-23
323,159,7,2018-01-23,2022-01-23
324,159,8,2022-01-23,
325,160,4,2021-03-23,2023-03-23
326,160,5,2023-03-23,
327,161,1,2001-03-18,2013-03-18
328,161,2,2013-03-18,
329,162,7,2009-09-08,2014-09-08
330,162,8,2014-09-08,2019-09-08
331,162,9,2019-09-08,
332,163,4,2020-06-17,2023-06-17
333,163,5,2023-06-17,
334,164,5,2026-07-11,
335,165,2,2023-08-19,
336,166,9,2018-10-10,2022-10-10
337,166,10,2022-10-10,
338,167,7,2015-09-14,2018-09-14
339,167,8,2018-09-14,2021-09-14
340,167,9,2021-09-14,
341,168,1,2011-05-28,2018-05-28
342,168,2,2018-05-28,
343,169,6,2023-06-13,
344,170,6,2017-09-14,2021-09-14
345,170,7,2021-09-14,
346,171,1,2007-03-21,2016-03-21
347,171,2,2016-03-21,
348,172,7,2020-06-12,2023-06-12
349,172,8,2023-06-12,
350,173,5,2021-09-15,2023-09-15
351,173,6,2023-09-15,
352,174,1,2008-09-18,2017-09-18
353,174,2,2017-09-18,
354,175,1,1997-12-14,2011-12-14
355,175,2,2011-12-14,
356,176,7,2017-10-11,2021-10-11
357,176,8,2021-10-11,
358,177,6,2025-07-22,
359,178,6,2014-11-11,2018-11-11
360,178,7,2018-11-11,2022-11-11
361,178,8,2022-11-11,
362,179,3,2003-04-19,2008-04-19
363,179,4,2008-04-19,2013-04-19
364,179,5,2013-04-19,2018-04-19
365,179,6,2018-04-19,
366,180,6,2022-01-18,
367,181,2,2025-12-25,
368,182,1,2026-06-07,
369,183,6,2025-12-02,
370,184,1,2020-09-05,2023-09-05
371,184,2,2023-09-05,
372,185,5,2024-12-12,
373,186,8,2023-09-08,
374,187,8,2025-11-18,
375,188,1,2018-01-18,
376,189,2,2024-10-23,
377,190,2,2025-09-16,
378,191,7,2014-01-18,2018-01-18
379,191,8,2018-01-18,2022-01-18
380,191,9,2022-01-18,
381,192,1,1998-01-20,2012-01-20
382,192,2,2012-01-20,
383,193,6,2011-07-22,2016-07-22
384,193,7,2016-07-22,2021-07-22
385,193,8,2021-07-22,
386,194,1,2004-08-16,2015-08-16
387,194,2,2015-08-16,
388,195,4,2018-03-05,2022-03-05
389,195,5,2022-03-05,
390,196,8,2022-06-03,
391,197,10,2025-09-07,
392,198,1,2021-10-28,2023-10-28
393,198,2,2023-10-28,
394,199,6,2014-09-11,2018-09-11
395,199,7,2018-09-11,2022-09-11
396,199,8,2022-09-11,
397,200,1,1994-03-04,2010-03-04
398,200,2,2010-03-04,
399,201,3,2007-10-22,2013-10-22
400,201,4,2013-10-22,2019-10-22
401,201,5,2019-10-22,
402,202,1,1989-06-20,2007-06-20
403,202,2,2007-06-20,
404,203,1,2014-02-03,2020-02-03
405,203,2,2020-02-03,
406,204,6,2016-06-05,2019-06-05
407,204,7,2019-06-05,2022-06-05
408,204,8,2022-06-05,
409,205,1,2024-09-11,
410,206,6,2015-07-10,2018-07-10
411,206,7,2018-07-10,2021-07-10
412,206,8,2021-07-10,
413,207,4,2019-09-28,2022-09-28
414,207,5,2022-09-28,
415,208,1,2005-05-05,
416,209,1,2008-05-24,
417,210,9,2022-07-12,
418,211,1,2025-03-18,
419,212,1,2024-10-18,
420,213,1,2005-10-20,
421,214,5,2009-12-05,2014-12-05
422,214,6,2014-12-05,2019-12-05
423,214,7,2019-12-05,
424,215,5,2006-07-20,2011-07-20
425,215,6,2011-07-20,2016-07-20
426,215,7,2016-07-20,2021-07-20
427,215,8,2021-07-20,
428,216,2,1997-08-14,2004-08-14
429,216,3,2004-08-14,2011-08-14
430,216,4,2011-08-14,2018-08-14
431,216,5,2018-08-14,
432,217,8,2024-05-10,
433,218,1,2022-10-06,
434,219,2,1999-03-05,2005-03-05
435,219,3,2005-03-05,2011-03-05
436,219,4,2011-03-05,2017-03-05
437,219,5,2017-03-05,
438,220,6,2018-10-28,2022-10-28
439,220,7,2022-10-28,
440,221,1,2022-02-04,
441,222,9,2023-12-17,
442,223,3,2006-09-23,2011-09-23
443,223,4,2011-09-23,2016-09-23
444,223,5,2016-09-23,2021-09-23
445,223,6,2021-09-23,
446,224,7,2018-03-18,2022-03-18
447,224,8,2022-03-18,
448,225,6,2018-09-01,2022-09-01
449,225,7,2022-09-01,
450,226,4,2015-11-17,2018-11-17
451,226,5,2018-11-17,2021-11-17
452,226,6,2021-11-17,
453,227,8,2024-05-03,
454,228,1,2025-02-01,
455,229,1,2009-04-21,
456,230,5,2004-02-11,2009-02-11
457,230,6,2009-02-11,2014-02-11
458,230,7,2014-02-11,2019-02-11
459,230,8,2019-02-11,
460,231,8,2022-09-21,
461,232,5,2012-01-06,2016-01-06
462,232,6,2016-01-06,2020-01-06
463,232,7,2020-01-06,
464,233,2,2025-08-09,
465,234,6,2015-10-10,2018-10-10
466,234,7,2018-10-10,2021-10-10
467,234,8,2021-10-10,
468,235,7,2019-12-22,2022-12-22
469,235,8,2022-12-22,
470,236,1,2026-04-28,
471,237,6,2013-11-09,2017-11-09
472,237,7,2017-11-09,2021-11-09
473,237,8,2021-11-09,
474,238,1,2020-01-17,
475,239,7,2018-06-26,2022-06-26
476,239,8,2022-06-26,
477,240,1,2009-10-11,2017-10-11
478,240,2,2017-10-11,
479,241,8,2020-09-22,2023-09-22
480,241,9,2023-09-22,
481,242,7,2023-09-01,
482,243,4,2018-03-25,2022-03-25
483,243,5,2022-03-25,
484,244,6,2017-06-09,2021-06-09
485,244,7,2021-06-09,
486,245,1,2026-05-27,
487,246,3,1998-12-05,2005-12-05
488,246,4,2005-12-05,2012-12-05
489,246,5,2012-12-05,2019-12-05
490,246,6,2019-12-05,
491,247,3,2016-12-05,2019-12-05
492,247,4,2019-12-05,2022-12-05
493,247,5,2022-12-05,
494,248,1,2014-01-12,
495,249,1,1999-01-14,2012-01-14
496,249,2,2012-01-14,
497,250,8,2025-10-08,
498,251,6,2020-12-15,2023-12-15
499,251,7,2023-12-15,
500,252,1,2019-09-06,2022-09-06
501,252,2,2022-09-06,
502,253,4,2006-04-06,2011-04-06
503,253,5,2011-04-06,2016-04-06
504,253,6,2016-04-06,2021-04-06
505,253,7,2021-04-06,
506,254,5,2025-10-26,
507,255,4,2005-10-25,2010-10-25
508,255,5,2010-10-25,2015-10-25
509,255,6,2015-10-25,2020-10-25
510,255,7,2020-10-25,
511,256,2,2003-09-20,2008-09-20
512,256,3,2008-09-20,2013-09-20
513,256,4,2013-09-20,2018-09-20
514,256,5,2018-09-20,
515,257,4,2003-03-03,2008-03-03
516,257,5,2008-03-03,2013-03-03
517,257,6,2013-03-03,2018-03-03
518,257,7,2018-03-03,
519,258,6,2019-06-15,2022-06-15
520,258,7,2022-06-15,
521,259,6,2016-06-01,2019-06-01
522,259,7,2019-06-01,2022-06-01
523,259,8,2022-06-01,
524,260,9,2021-09-16,2023-09-16
525,260,10,2023-09-16,
526,261,2,1995-11-10,2002-11-10
527,261,3,2002-11-10,2009-11-10
528,261,4,2009-11-10,2016-11-10
529,261,5,2016-11-10,
530,262,4,2001-02-10,2007-02-10
531,262,5,2007-02-10,2013-02-10
532,262,6,2013-02-10,2019-02-10
533,262,7,2019-02-10,
534,263,1,2005-10-13,
535,264,1,2007-06-22,
536,265,7,2023-04-04,
537,266,7,2026-05-28,
538,267,6,2010-06-13,2015-06-13
539,267,7,2015-06-13,2020-06-13
540,267,8,2020-06-13,
541,268,2,2026-07-01,
542,269,1,2025-06-07,
543,270,3,2016-01-15,2019-01-15
544,270,4,2019-01-15,2022-01-15
545,270,5,2022-01-15,
546,271,1,2008-10-13,
547,272,9,2022-06-28,
548,273,5,2010-12-27,2015-12-27
549,273,6,2015-12-27,2020-12-27
550,273,7,2020-12-27,
551,274,8,2019-11-13,2022-11-13
552,274,9,2022-11-13,
553,275,1,2015-06-03,2020-06-03
554,275,2,2020-06-03,
555,276,7,2014-08-07,2018-08-07
556,276,8,2018-08-07,2022-08-07
557,276,9,2022-08-07,
558,277,4,2014-06-26,2018-06-26
559,277,5,2018-06-26,2022-06-26
560,277,6,2022-06-26,
561,278,8,2026-04-21,
562,279,5,2017-07-16,2021-07-16
563,279,6,2021-07-16,
564,280,1,2009-09-17,2017-09-17
565,280,2,2017-09-17,
566,281,7,2022-01-10,
567,282,2,1995-12-12,2002-12-12
568,282,3,2002-12-12,2009-12-12
569,282,4,2009-12-12,2016-12-12
570,282,5,2016-12-12,
571,283,4,2009-10-10,2014-10-10
572,283,5,2014-10-10,2019-10-10
573,283,6,2019-10-10,
574,284,4,2020-06-17,2023-06-17
575,284,5,2023-06-17,
576,285,3,2009-09-26,2014-09-26
577,285,4,2014-09-26,2019-09-26
578,285,5,2019-09-26,
579,286,2,2025-10-18,
580,287,1,2017-09-04,2021-09-04
581,287,2,2021-09-04,
582,288,1,2024-03-25,
583,289,7,2020-07-27,2023-07-27
584,289,8,2023-07-27,
585,290,7,2018-03-25,2022-03-25
586,290,8,2022-03-25,
587,291,8,2023-07-26,
588,292,2,2025-09-18,
589,293,7,2010-08-28,2015-08-28
590,293,8,2015-08-28,2020-08-28
591,293,9,2020-08-28,
592,294,1,2025-02-18,
593,295,6,2016-12-27,2019-12-27
594,295,7,2019-12-27,2022-12-27
595,295,8,2022-12-27,
596,296,1,2025-12-04,
597,297,5,2013-06-04,2017-06-04
598,297,6,2017-06-04,2021-06-04
599,297,7,2021-06-04,
600,298,8,2023-05-22,
601,299,7,2018-01-25,2022-01-25
602,299,8,2022-01-25,
603,300,1,2023-10-03,
604,301,4,2021-08-07,2023-08-07
605,301,5,2023-08-07,
606,302,6,2024-01-02,
607,303,8,2020-03-02,2023-03-02
608,303,9,2023-03-02,
609,304,6,2020-01-18,2023-01-18
610,304,7,2023-01-18,
611,305,6,2016-09-05,2019-09-05
612,305,7,2019-09-05,2022-09-05
613,305,8,2022-09-05,
614,306,6,2013-09-13,2017-09-13
615,306,7,2017-09-13,2021-09-13
616,306,8,2021-09-13,
617,307,1,2015-05-21,2020-05-21
618,307,2,2020-05-21,
619,308,5,2023-01-22,
620,309,5,2013-09-28,2017-09-28
621,309,6,2017-09-28,2021-09-28
622,309,7,2021-09-28,
623,310,1,1993-11-20,
624,311,8,2023-10-23,
625,312,1,2021-10-10,
626,313,6,2011-09-17,2016-09-17
627,313,7,2016-09-17,2021-09-17
628,313,8,2021-09-17,
629,314,6,2017-10-14,2021-10-14
630,314,7,2021-10-14,
631,315,5,2019-07-18,2022-07-18
632,315,6,2022-07-18,
633,316,4,2010-06-23,2015-06-23
634,316,5,2015-06-23,2020-06-23
635,316,6,2020-06-23,
636,317,4,2021-04-02,2023-04-02
637,317,5,2023-04-02,
638,318,2,2000-02-09,2006-02-09
639,318,3,2006-02-09,2012-02-09
640,318,4,2012-02-09,2018-02-09
641,318,5,2018-02-09,
642,319,7,2016-11-24,2019-11-24
643,319,8,2019-11-24,2022-11-24
644,319,9,2022-11-24,
645,320,4,2016-03-06,2019-03-06
646,320,5,2019-03-06,2022-03-06
647,320,6,2022-03-06,
648,321,5,2011-08-24,2016-08-24
649,321,6,2016-08-24,2021-08-24
650,321,7,2021-08-24,
651,322,2,1995-07-17,2002-07-17
652,322,3,2002-07-17,2009-07-17
653,322,4,2009-07-17,2016-07-17
654,322,5,2016-07-17,
655,323,1,2017-07-13,2021-07-13
656,323,2,2021-07-13,
657,324,7,2020-09-03,2023-09-03
658,324,8,2023-09-03,
659,325,7,2023-06-03,
660,326,1,2012-06-01,2019-06-01
661,326,2,2019-06-01,
662,327,6,2016-05-16,2019-05-16
663,327,7,2019-05-16,2022-05-16
664,327,8,2022-05-16,
665,328,9,2025-09-18,
666,329,5,2024-03-24,
667,330,1,2026-07-10,
668,331,2,2005-03-02,2010-03-02
669,331,3,2010-03-02,2015-03-02
670,331,4,2015-03-02,2020-03-02
671,331,5,2020-03-02,
672,332,4,2006-07-23,2011-07-23
673,332,5,2011-07-23,2016-07-23
674,332,6,2016-07-23,2021-07-23
675,332,7,2021-07-23,
676,333,5,2015-07-10,2018-07-10
677,333,6,2018-07-10,2021-07-10
678,333,7,2021-07-10,
679,334,8,2023-02-21,
680,335,1,2018-11-07,2022-11-07
681,335,2,2022-11-07,
682,336,8,2021-05-20,2023-05-20
683,336,9,2023-05-20,
684,337,8,2024-05-13,
685,338,4,2021-03-14,2023-03-14
686,338,5,2023-03-14,
687,339,8,2026-04-14,
688,340,6,2007-02-09,2013-02-09
689,340,7,2013-02-09,2019-02-09
690,340,8,2019-02-09,
691,341,5,2021-03-19,2023-03-19
692,341,6,2023-03-19,
693,342,1,2023-10-10,
694,343,1,1999-06-26,
695,344,1,2013-08-18,
696,345,8,2022-01-25,
697,346,6,2015-10-13,2018-10-13
698,346,7,2018-10-13,2021-10-13
699,346,8,2021-10-13,
700,347,6,2024-07-19,
701,348,1,2012-03-13,2019-03-13
702,348,2,2019-03-13,
703,349,5,2006-03-24,2011-03-24
704,349,6,2011-03-24,2016-03-24
705,349,7,2016-03-24,2021-03-24
706,349,8,2021-03-24,
707,350,2,2005-02-01,2010-02-01
708,350,3,2010-02-01,2015-02-01
709,350,4,2015-02-01,2020-02-01
710,350,5,2020-02-01,
711,351,7,2025-10-26,
712,352,8,2022-01-18,
713,353,1,2025-12-07,
714,354,1,2018-04-25,2022-04-25
715,354,2,2022-04-25,
716,355,6,2025-06-07,
717,356,2,2006-02-12,2011-02-12
718,356,3,2011-02-12,2016-02-12
719,356,4,2016-02-12,2021-02-12
720,356,5,2021-02-12,
721,357,5,2026-06-23,
722,358,1,2019-04-18,2022-04-18
723,358,2,2022-04-18,
724,359,7,2017-10-28,2021-10-28
725,359,8,2021-10-28,
726,360,2,2025-05-18,
727,361,1,2018-12-02,
728,362,3,2012-09-14,2016-09-14
729,362,4,2016-09-14,2020-09-14
730,362,5,2020-09-14,
731,363,1,2023-09-27,
732,364,9,2021-02-25,2023-02-25
733,364,10,2023-02-25,
734,365,1,2011-05-06,
735,366,1,2022-06-19,
736,367,10,2022-09-03,
737,368,1,2022-09-04,
738,369,8,2022-07-27,
739,370,1,2016-10-03,
740,371,7,2023-10-05,
741,372,1,2017-07-14,
742,373,1,2025-07-13,
743,374,7,2013-10-27,2017-10-27
744,374,8,2017-10-27,2021-10-27
745,374,9,2021-10-27,
746,375,2,2026-02-06,
747,376,8,2022-11-13,
748,377,2,2022-06-05,
749,378,7,2026-05-15,
750,379,9,2024-04-19,
751,380,1,2012-11-18,
752,381,6,2019-01-03,2022-01-03
753,381,7,2022-01-03,
754,382,1,2021-11-01,
755,383,4,2020-10-28,2023-10-28
756,383,5,2023-10-28,
757,384,5,2016-01-01,2019-01-01
758,384,6,2019-01-01,2022-01-01
759,384,7,2022-01-01,
760,385,9,2023-08-12,
761,386,1,2003-02-03,2014-02-03
762,386,2,2014-02-03,
763,387,1,2005-02-02,
764,388,4,2004-07-20,2009-07-20
765,388,5,2009-07-20,2014-07-20
766,388,6,2014-07-20,2019-07-20
767,388,7,2019-07-20,
768,389,8,2022-01-08,
769,390,5,2009-06-26,2014-06-26
770,390,6,2014-06-26,2019-06-26
771,390,7,2019-06-26,
772,391,4,2015-06-11,2018-06-11
773,391,5,2018-06-11,2021-06-11
774,391,6,2021-06-11,
775,392,6,2024-05-23,
776,393,7,2013-09-01,2017-09-01
777,393,8,2017-09-01,2021-09-01
778,393,9,2021-09-01,
779,394,1,2015-05-23,
780,395,2,1991-01-25,1999-01-25
781,395,3,1999-01-25,2007-01-25
782,395,4,2007-01-25,2015-01-25
783,395,5,2015-01-25,
784,396,6,2012-01-09,2016-01-09
785,396,7,2016-01-09,2020-01-09
786,396,8,2020-01-09,
787,397,5,1998-09-12,2005-09-12
788,397,6,2005-09-12,2012-09-12
789,397,7,2012-09-12,2019-09-12
790,397,8,2019-09-12,
791,398,6,2026-04-19,
792,399,5,2007-10-07,2013-10-07
793,399,6,2013-10-07,2019-10-07
794,399,7,2019-10-07,
795,400,3,1999-04-10,2005-04-10
796,400,4,2005-04-10,2011-04-10
797,400,5,2011-04-10,2017-04-10
798,400,6,2017-04-10,
799,401,1,2023-06-04,
800,402,3,2005-06-20,2010-06-20
801,402,4,2010-06-20,2015-06-20
802,402,5,2015-06-20,2020-06-20
803,402,6,2020-06-20,
804,403,3,1994-04-14,2002-04-14
805,403,4,2002-04-14,2010-04-14
806,403,5,2010-04-14,2018-04-14
807,403,6,2018-04-14,
808,404,4,2004-05-04,2009-05-04
809,404,5,2009-05-04,2014-05-04
810,404,6,2014-05-04,2019-05-04
811,404,7,2019-05-04,
812,405,7,2025-12-14,
813,406,7,2017-07-26,2021-07-26
814,406,8,2021-07-26,
815,407,2,2026-01-17,
816,408,7,2020-12-06,2023-12-06
817,408,8,2023-12-06,
